Neighborhood_ID,Neighborhood_Name,Ward_Number,Latitude,Longitude
9,Yelahanka,163,13.03398984,77.61281104
3,HSR Layout,147,12.85146407,77.47908243
14,Koramangala,118,12.9644154,77.64078064
17,Indiranagar,65,13.008143,77.49660727
18,Koramangala,189,12.95767771,77.61412577
12,Yelahanka,47,12.88155225,77.4887362
14,Jayanagar,14,13.04456247,77.57021313
13,Koramangala,67,12.93098599,77.55554946
14,Jayanagar,180,12.88368889,77.67692321
9,Jayanagar,109,12.98756645,77.64234849
19,Whitefield,160,12.85479289,77.73112665
2,Jayanagar,10,12.93101592,77.7265732
11,Marathahalli,124,13.03766059,77.66749881
17,Jayanagar,17,13.07817783,77.68117572
2,Indiranagar,168,12.99793186,77.63747372
19,Indiranagar,196,12.9044029,77.65749897
7,Indiranagar,191,12.90500004,77.63516671
18,BTM Layout,143,13.00096792,77.54352951
13,HSR Layout,97,12.95169043,77.55520687
5,HSR Layout,167,12.89431607,77.62242015
18,HSR Layout,57,13.04684926,77.66605308
16,Marathahalli,138,12.90006076,77.57183571
15,Indiranagar,71,12.93041021,77.49280034
8,Basavanagudi,97,12.86535736,77.58782515
15,HSR Layout,17,13.02534303,77.73895635
1,Yelahanka,76,12.91881948,77.51422606
17,Yelahanka,17,12.90821674,77.64472073
15,Koramangala,111,12.92583957,77.74476254
14,BTM Layout,120,13.06853263,77.56287132
14,Basavanagudi,144,12.97950464,77.71636508
10,Jayanagar,119,12.88947118,77.70920262
2,Indiranagar,78,13.04362022,77.55171349
6,Marathahalli,3,12.90211331,77.4795552
17,BTM Layout,108,12.95311904,77.50356175
5,Whitefield,51,12.99201895,77.55972475
5,Whitefield,114,12.99611073,77.73774029
15,Malleshwaram,94,12.86725803,77.53233504
15,Jayanagar,174,13.05920112,77.72805942
20,Indiranagar,116,12.96985769,77.50440941
11,BTM Layout,183,13.09731517,77.74094373
5,Whitefield,105,13.0293606,77.53808136
1,Malleshwaram,99,13.09814223,77.63992768
11,Marathahalli,154,12.96336881,77.47090737
11,Indiranagar,76,12.88519535,77.53989925
6,Whitefield,159,13.03182734,77.51321312
8,HSR Layout,81,13.04444007,77.451025
2,Yelahanka,72,13.06320882,77.49703094
15,Malleshwaram,147,12.92536226,77.62793109
9,Marathahalli,196,12.977671,77.56697605
15,Whitefield,143,13.06437639,77.66677129
8,Marathahalli,111,13.06618406,77.65132238
16,Jayanagar,58,12.85642096,77.68978985
14,Koramangala,78,13.0177292,77.71010751
15,Malleshwaram,158,13.00042184,77.69594765
20,BTM Layout,48,12.87083444,77.58441825
13,BTM Layout,56,13.08253402,77.54261832
9,Whitefield,42,12.96134307,77.60069074
1,HSR Layout,24,13.01856443,77.61053855
6,HSR Layout,110,13.07069945,77.54395236
8,Jayanagar,52,12.88253027,77.61200196
20,BTM Layout,171,13.06396079,77.4817339
18,Malleshwaram,34,13.03107641,77.51931254
18,Yelahanka,188,13.05989808,77.67381443
17,HSR Layout,3,12.97370893,77.50484967
16,BTM Layout,68,12.85837121,77.49171135
13,Koramangala,139,13.01762896,77.53620296
4,Malleshwaram,141,12.94363311,77.56131474
4,Yelahanka,50,12.95060396,77.54856461
14,Koramangala,82,12.96031555,77.56238162
5,BTM Layout,19,12.97322741,77.4919737
16,Whitefield,44,13.01548356,77.49961855
14,Basavanagudi,161,13.03169392,77.52075049
14,Basavanagudi,166,13.04421057,77.57059761
14,Jayanagar,3,13.01790155,77.55076973
14,Jayanagar,113,13.05086985,77.68740048
19,Yelahanka,65,12.8805373,77.60765537
3,Koramangala,163,13.05920442,77.62271031
17,BTM Layout,164,12.94681977,77.61817788
14,BTM Layout,166,12.98219417,77.56963252
10,Whitefield,39,12.95844485,77.74414499
13,Marathahalli,153,12.9689293,77.46119863
4,Jayanagar,64,12.92135692,77.51475133
11,Marathahalli,104,12.89248773,77.53539641
15,Marathahalli,13,12.87622368,77.71438942
15,Whitefield,68,12.96284971,77.72566074
2,Marathahalli,70,12.88131525,77.70383115
11,Marathahalli,75,12.91124712,77.57508529
2,Whitefield,1,12.88340397,77.72438717
5,HSR Layout,182,12.87728031,77.47955243
13,Marathahalli,98,13.07061529,77.64573041
1,Jayanagar,104,13.01850649,77.73116713
7,Whitefield,116,13.08093978,77.67646995
7,Malleshwaram,137,13.01100304,77.53336015
10,Marathahalli,164,13.06098776,77.66525175
6,HSR Layout,113,12.98882465,77.53842901
20,Jayanagar,103,12.96565751,77.48347463
12,Indiranagar,37,12.98211935,77.66516646
13,Jayanagar,106,12.93005637,77.50376799
11,Koramangala,187,13.0144931,77.48331948
18,Malleshwaram,108,13.07429373,77.61552802
2,Basavanagudi,21,13.04558836,77.63618758
16,BTM Layout,148,12.9655,77.46531689
2,Koramangala,129,13.08847977,77.45134067
19,Whitefield,187,13.09635577,77.7146211
6,Whitefield,28,12.97327515,77.48457577
1,BTM Layout,184,13.06615996,77.62516942
11,Yelahanka,108,12.85119256,77.73606387
18,Yelahanka,9,12.8666639,77.60357303
10,BTM Layout,193,12.85559735,77.4919394
18,Whitefield,164,13.04329075,77.56804535
1,Jayanagar,162,12.86994478,77.63721264
19,Malleshwaram,32,12.85426264,77.67885189
16,HSR Layout,66,12.88685469,77.6320814
7,Basavanagudi,100,12.9265737,77.46029472
15,Malleshwaram,153,12.96617517,77.49293086
1,BTM Layout,179,12.86635082,77.56154051
9,Whitefield,191,12.97474556,77.66171411
2,Yelahanka,173,12.91201537,77.62529839
17,Whitefield,154,12.91859287,77.4634085
10,Yelahanka,21,13.05547556,77.68906577
6,Malleshwaram,82,13.09673089,77.63153733
5,Koramangala,179,12.96596601,77.71614501
8,Jayanagar,24,12.93044267,77.57529593
8,Malleshwaram,111,13.08286204,77.59706053
5,Jayanagar,92,12.97511211,77.57166523
12,Marathahalli,12,13.03258839,77.66673636
7,Malleshwaram,139,12.95343501,77.67563926
13,Indiranagar,155,12.90063714,77.66697272
13,Indiranagar,23,13.01372128,77.53747979
17,Jayanagar,161,13.01621066,77.64080946
4,Marathahalli,92,12.96504596,77.55155845
18,Jayanagar,166,12.91748741,77.70026012
10,BTM Layout,183,13.05795337,77.46653485
3,Indiranagar,198,12.91882953,77.46131623
12,Whitefield,170,13.014756,77.48051253
1,Jayanagar,123,12.94599641,77.51070896
11,Jayanagar,157,12.96812017,77.46129061
18,Basavanagudi,34,12.90285067,77.47148501
13,HSR Layout,125,13.01236999,77.54181695
17,HSR Layout,57,12.90645646,77.4799372
8,Yelahanka,3,12.97142851,77.69062213
20,Marathahalli,6,12.93211485,77.46616022
19,Indiranagar,48,13.09090143,77.72237883
17,Indiranagar,102,13.09555527,77.71125186
2,HSR Layout,192,13.03837283,77.51251531
3,Jayanagar,120,13.09597937,77.47145812
3,Jayanagar,13,12.87838766,77.48166051
6,Indiranagar,36,13.09808116,77.61772647
10,Marathahalli,70,12.87588898,77.63027472
18,Koramangala,33,12.95386294,77.54467484
18,BTM Layout,105,12.90973689,77.5390501
14,Basavanagudi,57,13.08846149,77.60945038
16,Indiranagar,55,13.00894748,77.54168841
7,Yelahanka,107,12.99928188,77.73029585
1,Koramangala,141,13.09935963,77.56478953
17,Indiranagar,51,13.00310653,77.51594412
5,Basavanagudi,92,13.01153997,77.49378945
1,HSR Layout,53,12.86119357,77.63951246
17,Indiranagar,36,13.06476265,77.54799848
10,Koramangala,133,13.09252236,77.50663845
12,BTM Layout,119,13.09007779,77.53274466
20,Jayanagar,25,12.9052764,77.54236447
2,Malleshwaram,81,12.90647884,77.63775004
16,HSR Layout,37,12.94151178,77.50240445
15,Koramangala,19,12.92755252,77.66984113
13,Yelahanka,35,12.92640366,77.54146468
18,Yelahanka,107,13.00130418,77.59649288
20,Whitefield,162,13.051402,77.6464517
14,Malleshwaram,54,13.08419204,77.61308603
18,Indiranagar,174,12.86696512,77.64867006
2,Whitefield,6,12.91949462,77.54677865
2,Yelahanka,129,12.91375344,77.73903498
3,Indiranagar,34,12.93935992,77.58769692
5,Whitefield,56,12.95608357,77.54658008
16,Indiranagar,97,12.94729287,77.53891819
15,BTM Layout,26,13.0880368,77.46280849
12,Malleshwaram,170,12.95928226,77.65544176
9,HSR Layout,91,12.98789814,77.52875458
14,HSR Layout,38,13.03715832,77.73767906
16,HSR Layout,154,13.0312712,77.51313342
11,Yelahanka,59,12.99574114,77.60884736
6,BTM Layout,127,13.06520801,77.67064121
10,Basavanagudi,24,13.00604533,77.71103459
8,Malleshwaram,111,13.06868971,77.49693827
16,Koramangala,21,12.92569144,77.74562046
3,Marathahalli,60,12.88300592,77.7220247
2,Basavanagudi,90,13.05488011,77.73885493
16,Koramangala,148,12.94562948,77.70580123
19,HSR Layout,6,13.01277114,77.71330077
9,Koramangala,195,13.0343278,77.62964867
16,Indiranagar,10,12.93167762,77.70359302
4,Indiranagar,140,12.97629085,77.61020401
10,Koramangala,97,13.07373163,77.61146515
19,Jayanagar,150,13.06994831,77.61877403
13,Whitefield,190,13.03733927,77.74889538
18,Marathahalli,189,13.04068488,77.48131845
15,Yelahanka,80,13.07442111,77.69168299
4,Koramangala,17,13.0340831,77.53199376
9,Malleshwaram,138,12.93489634,77.55836812
4,Jayanagar,140,12.88019567,77.47415998
16,BTM Layout,83,12.95547102,77.55547213
15,Jayanagar,40,12.87183585,77.74722881
2,Marathahalli,151,12.87894269,77.56912078
14,Malleshwaram,168,13.08754302,77.65090638
3,Jayanagar,74,13.01897174,77.48621396
4,Yelahanka,74,13.06290218,77.72674916
1,Whitefield,50,13.0107248,77.69832361
9,Malleshwaram,10,12.95463501,77.56588829
17,Indiranagar,103,12.8562897,77.554539
14,Yelahanka,94,13.08895926,77.5796801
17,HSR Layout,132,12.86773312,77.57037745
1,BTM Layout,129,13.00254077,77.52741524
10,Marathahalli,43,12.8755508,77.74725388
16,Marathahalli,83,12.92103692,77.69316394
19,Koramangala,133,12.89645436,77.53037698
3,Marathahalli,104,12.98842923,77.74451744
12,Marathahalli,34,13.07176884,77.45465904
3,Whitefield,194,13.00890558,77.58136929
15,BTM Layout,24,13.016047,77.62084556
17,Whitefield,142,13.07723287,77.46127599
18,Indiranagar,41,13.03735631,77.49831116
7,Malleshwaram,170,13.06648896,77.52743932
19,Jayanagar,13,12.95409802,77.66606812
7,BTM Layout,157,13.06633908,77.73192306
5,Jayanagar,193,13.01146535,77.63736053
8,HSR Layout,174,12.88390195,77.61879848
16,Whitefield,162,12.85967813,77.61102774
16,Yelahanka,191,12.9110086,77.55521109
19,Jayanagar,132,12.94458741,77.6983143
15,Yelahanka,28,13.05939197,77.61223023
7,Koramangala,83,13.03531114,77.51903095
5,BTM Layout,129,13.08884393,77.49104936
11,Koramangala,164,12.9897937,77.74565375
10,Malleshwaram,107,13.03693541,77.45524196
9,Koramangala,13,12.91882085,77.73003201
1,Yelahanka,114,13.01989447,77.51549099
20,Marathahalli,106,13.0265378,77.64726486
1,Whitefield,5,13.06210383,77.54045976
8,Koramangala,97,12.98410088,77.70794312
3,Malleshwaram,14,13.01225129,77.6130336
2,BTM Layout,80,12.9007622,77.49231733
4,Basavanagudi,120,13.03418977,77.5309505
19,Malleshwaram,160,13.05960293,77.54609557
11,Whitefield,178,12.99843444,77.71577671
5,Jayanagar,155,12.87891862,77.68002153
10,Indiranagar,35,12.92821434,77.69887619
8,BTM Layout,3,12.96887866,77.46567566
13,Yelahanka,4,13.0192906,77.62363466
5,Indiranagar,135,12.93008178,77.74975308
12,Malleshwaram,131,13.06007276,77.68555989
13,Malleshwaram,81,12.94294745,77.4862123
8,Malleshwaram,111,12.86070909,77.65364545
15,Indiranagar,59,13.0484986,77.67359715
13,Koramangala,74,13.01105579,77.60427451
1,Whitefield,129,13.05048912,77.47362594
6,BTM Layout,156,12.93722245,77.46040587
11,Whitefield,59,12.85440755,77.73134291
13,BTM Layout,118,12.86843823,77.52725419
20,BTM Layout,181,12.8779502,77.56369044
1,Jayanagar,138,13.05128689,77.68858326
11,Malleshwaram,103,12.92535869,77.65677822
11,Basavanagudi,131,13.09947463,77.74056971
8,HSR Layout,135,13.0395971,77.47785176
3,Whitefield,9,13.00028874,77.66207587
19,Jayanagar,99,13.09590485,77.47466866
12,Malleshwaram,197,12.9290773,77.45004965
6,Marathahalli,141,12.89140389,77.48606907
8,Marathahalli,168,13.03431824,77.63501775
5,Koramangala,114,12.91952084,77.65285782
10,Indiranagar,62,13.09025923,77.58150196
16,Marathahalli,62,13.09701733,77.46382121
12,Yelahanka,10,13.0816011,77.64021782
17,Malleshwaram,87,13.08619044,77.47574524
6,HSR Layout,11,13.0039137,77.4925179
9,Basavanagudi,62,13.02302966,77.60377271
10,Malleshwaram,77,12.87356154,77.55211198
20,Marathahalli,104,13.04076254,77.58942618
14,HSR Layout,56,12.90051584,77.64052307
14,Basavanagudi,110,13.06008151,77.49800211
17,Koramangala,49,13.09038296,77.71792602
16,Koramangala,16,12.90309441,77.61784402
4,Jayanagar,73,12.86950778,77.45662798
2,Basavanagudi,116,12.97097253,77.63853585
16,Basavanagudi,93,13.04788734,77.58895368
1,Yelahanka,137,13.04266004,77.66049173
3,Basavanagudi,33,13.02420463,77.68521009
11,Marathahalli,88,13.055174,77.73165346
16,Yelahanka,163,12.89374709,77.74950374
18,Basavanagudi,39,13.01298444,77.6148851
15,Whitefield,114,13.00141983,77.61845251
9,Jayanagar,77,12.88835793,77.45673358
12,Jayanagar,87,12.95360677,77.70955114
18,Whitefield,153,13.06313243,77.4586154
5,Yelahanka,114,13.09295045,77.63979944
8,Koramangala,56,13.01635754,77.47957309
3,Whitefield,176,13.08048526,77.53575158
2,Malleshwaram,138,12.88301231,77.49209887
19,Indiranagar,41,13.09376513,77.49121829
8,HSR Layout,104,12.85837662,77.47238029
2,Koramangala,99,12.98181482,77.54536459
19,Koramangala,59,12.92275208,77.5770954
1,BTM Layout,156,13.05347728,77.58934196
13,Koramangala,122,12.90438591,77.58191241
20,Jayanagar,120,12.85288251,77.60710761
17,Koramangala,41,12.95365236,77.70793608
3,Malleshwaram,66,12.866027,77.63953898
9,Koramangala,179,12.92252314,77.4551857
5,Basavanagudi,62,13.01093692,77.50188568
6,Jayanagar,158,12.92367579,77.55468495
4,Whitefield,40,12.91144831,77.73471311
17,Whitefield,40,12.88887392,77.47342382
16,Marathahalli,197,12.88379307,77.66303578
16,Indiranagar,102,12.98146434,77.45992794
11,Indiranagar,190,13.02037676,77.55876115
2,Basavanagudi,15,12.9631833,77.68104463
17,Indiranagar,124,12.88090077,77.5531788
15,Koramangala,131,13.01193907,77.57908462
18,Whitefield,24,12.98928047,77.72159136
10,Koramangala,169,12.94531886,77.46985073
6,BTM Layout,191,12.93251172,77.6082987
16,Marathahalli,48,12.89578822,77.55987127
5,Whitefield,189,12.88657486,77.7391435
12,Indiranagar,48,12.93469292,77.68810695
6,HSR Layout,47,12.86040778,77.48662303
14,Koramangala,184,12.95915685,77.72822293
16,Malleshwaram,105,13.00039348,77.51336399
7,HSR Layout,113,13.08541357,77.47544529
2,Malleshwaram,8,13.00645704,77.61247798
6,BTM Layout,18,13.00601901,77.67098947
9,Indiranagar,108,12.9436037,77.66481527
7,Koramangala,84,12.88332929,77.61021682
2,Koramangala,151,12.96173441,77.59782124
19,Malleshwaram,197,12.99966908,77.74086317
8,Koramangala,65,13.0310084,77.69616765
11,BTM Layout,109,13.05652169,77.65959201
4,Jayanagar,46,12.91398202,77.50856344
16,Jayanagar,66,12.91030502,77.69593121
18,Malleshwaram,80,12.99132497,77.67493422
13,Indiranagar,197,12.9915038,77.74760798
5,Malleshwaram,150,12.90448695,77.48989853
2,Yelahanka,193,12.99686883,77.66458862
11,Koramangala,140,12.93646971,77.74372496
1,Koramangala,147,13.00982873,77.58877791
13,Jayanagar,150,12.92276118,77.67002313
5,HSR Layout,183,12.99807295,77.7426112
18,Malleshwaram,106,13.04207751,77.61424547
14,Indiranagar,126,13.09503969,77.65971248
13,Jayanagar,190,13.07776701,77.45602544
7,Malleshwaram,179,12.97588469,77.60589953
8,Whitefield,176,12.97208727,77.52674012
18,Indiranagar,145,12.959425,77.48937339
7,Indiranagar,13,12.85693765,77.66257943
20,Basavanagudi,28,12.89148862,77.46172685
17,HSR Layout,123,12.86479727,77.72145955
16,BTM Layout,67,13.02408877,77.6053321
11,Indiranagar,5,12.95330866,77.64446903
19,Basavanagudi,100,12.86594247,77.52603044
1,Koramangala,188,13.02264377,77.50465791
8,Malleshwaram,143,13.01110897,77.52312609
1,Marathahalli,81,13.02999071,77.5196879
9,Marathahalli,44,12.99995853,77.70935049
19,HSR Layout,119,12.89038489,77.68620182
9,Koramangala,46,12.86534807,77.70582096
10,Indiranagar,157,13.05428524,77.67046161
11,Koramangala,68,12.90395225,77.64306511
1,Basavanagudi,128,12.98563231,77.60836241
20,Whitefield,49,12.97130425,77.52964455
8,BTM Layout,171,13.08026314,77.66160889
20,Yelahanka,102,12.98810994,77.49097532
12,BTM Layout,196,12.99500422,77.60331846
1,Indiranagar,77,12.92987626,77.50858243
10,Koramangala,20,13.08967368,77.60142779
4,BTM Layout,111,13.00309345,77.53817222
15,Malleshwaram,146,12.8512451,77.4660439
19,BTM Layout,192,12.98902057,77.6011127
6,Basavanagudi,177,12.94096635,77.50454906
5,BTM Layout,115,12.85802805,77.49834651
5,Malleshwaram,170,12.95788745,77.56530977
18,Yelahanka,12,13.04339162,77.55853615
3,Yelahanka,79,12.97594736,77.71008736
2,Malleshwaram,119,13.00986477,77.61939111
4,Koramangala,36,13.00993537,77.70637023
18,Whitefield,8,13.01775483,77.4940507
9,Indiranagar,28,12.94689905,77.55719308
19,HSR Layout,116,12.94250121,77.61659889
10,Marathahalli,86,12.85114613,77.49593842
15,Koramangala,188,12.88855562,77.48841712
1,BTM Layout,49,13.08770255,77.64842048
11,Marathahalli,166,13.06060418,77.64615019
14,Marathahalli,80,12.91877711,77.5202476
10,Malleshwaram,186,12.95029799,77.51813707
19,Jayanagar,5,13.08498033,77.67363373
16,Whitefield,46,12.91261112,77.48509635
8,Whitefield,98,12.98313324,77.72697905
2,Jayanagar,102,12.85551995,77.73312156
7,Indiranagar,2,13.00493371,77.7112977
19,Jayanagar,25,13.0825184,77.51320319
7,HSR Layout,1,13.07118585,77.45504052
15,HSR Layout,197,12.97549231,77.73100725
8,Malleshwaram,168,13.01241049,77.55319155
14,BTM Layout,68,12.99244955,77.54312308
1,Marathahalli,69,12.86674356,77.52850327
13,Whitefield,197,12.88968087,77.52336085
3,Whitefield,16,13.09095433,77.67036599
6,Jayanagar,182,12.91399217,77.72236809
19,Jayanagar,191,12.9461123,77.68581691
15,Jayanagar,18,12.97723608,77.65223239
4,Indiranagar,107,13.09478303,77.53632727
3,Jayanagar,17,13.02249838,77.61408904
4,BTM Layout,125,13.00739962,77.52109015
5,Marathahalli,82,12.98109999,77.48345213
18,Koramangala,4,13.0251686,77.48608789
10,Koramangala,115,13.01600397,77.63113073
8,BTM Layout,95,13.07571022,77.4615439
12,Basavanagudi,95,12.98545883,77.74197635
3,HSR Layout,137,12.95537565,77.74863994
18,Koramangala,31,13.05179051,77.49482741
8,Indiranagar,133,13.04994583,77.57819072
1,Basavanagudi,16,12.89245911,77.68042281
14,Yelahanka,42,12.909198,77.73652005
13,Indiranagar,169,13.08965957,77.71739635
12,Whitefield,30,12.96102738,77.52642656
3,Koramangala,26,12.97991517,77.47555908
18,HSR Layout,177,12.92754003,77.53661881
13,Jayanagar,31,12.97026776,77.58117123
15,Jayanagar,50,13.03583915,77.5579815
10,Marathahalli,143,12.97058627,77.68216074
1,HSR Layout,52,12.92869617,77.52733637
6,Whitefield,166,12.87400025,77.70759113
9,Malleshwaram,38,13.08206538,77.51769033
10,Koramangala,188,13.06791446,77.55840561
15,Marathahalli,20,13.04784124,77.58434272
9,HSR Layout,99,13.02351774,77.53736544
14,Yelahanka,44,12.97887747,77.67991167
11,Indiranagar,111,13.0743492,77.57286416
7,Whitefield,89,13.04792538,77.71610773
2,HSR Layout,63,13.05400271,77.7390766
14,Koramangala,118,12.92738762,77.70794215
6,Indiranagar,178,12.95586457,77.60678755
5,HSR Layout,150,13.02670057,77.60294252
5,BTM Layout,72,12.94276558,77.51476179
19,Marathahalli,54,12.97349366,77.6276833
19,HSR Layout,137,13.01162824,77.73581772
6,BTM Layout,143,12.9594396,77.47418196
10,Indiranagar,48,13.0482599,77.67573722
14,Indiranagar,148,12.87906971,77.71086187
17,Indiranagar,163,13.02951413,77.74601105
3,Malleshwaram,101,12.88630252,77.55042731
1,HSR Layout,195,13.08445991,77.55667224
10,BTM Layout,60,12.92850942,77.51893257
3,Jayanagar,98,13.04885809,77.68671909
5,Yelahanka,162,12.98035424,77.49201188
19,Yelahanka,100,12.87277177,77.53033009
10,BTM Layout,99,12.99564671,77.53857871
16,Jayanagar,73,13.07804443,77.56247919
1,Whitefield,119,12.8893086,77.57649947
6,Malleshwaram,182,12.93032674,77.61770749
9,BTM Layout,128,12.95978967,77.734512
5,Koramangala,140,12.91876327,77.52418392
14,Marathahalli,88,13.08594487,77.68376618
10,Marathahalli,105,12.94437507,77.65291709
2,Basavanagudi,19,13.01451551,77.48481507
5,Yelahanka,80,12.90597919,77.69311303
1,Indiranagar,26,12.90492648,77.47718353
10,Koramangala,151,12.89396233,77.67167787
9,Whitefield,121,12.95870307,77.66473602
3,Jayanagar,33,12.98321455,77.65682056
15,Whitefield,106,12.85268704,77.5330077
4,Yelahanka,185,13.05823086,77.6220101
13,Indiranagar,30,12.97818847,77.67847334
6,Jayanagar,151,12.88930248,77.64127758
20,BTM Layout,126,12.86682333,77.69129172
17,Basavanagudi,36,12.86579982,77.65636471
5,Jayanagar,125,12.91441087,77.53233497
15,Yelahanka,124,12.97482304,77.49591696
8,Whitefield,171,13.06505988,77.6395937
5,Marathahalli,194,13.07574136,77.67792751
13,Whitefield,181,13.05808198,77.49269689
1,Whitefield,118,12.93214087,77.50244614
1,Whitefield,123,12.92663944,77.4536208
7,Basavanagudi,188,13.09686459,77.60952475
5,Yelahanka,37,13.02032016,77.61268731
14,Koramangala,61,12.92623799,77.60002274
15,Basavanagudi,96,12.93227004,77.54480301
17,Basavanagudi,120,12.95866111,77.57834337
18,Yelahanka,181,13.00545167,77.67987103
7,Malleshwaram,12,13.07449479,77.50453906
18,Basavanagudi,122,12.89957678,77.51046437
19,Jayanagar,35,12.87110085,77.65009348
20,Malleshwaram,67,12.95143803,77.71007026
7,Yelahanka,38,12.91136387,77.55211804
8,HSR Layout,24,12.99400817,77.7298233
13,HSR Layout,81,13.02480371,77.46730282
18,Koramangala,168,12.92768399,77.4855558
11,BTM Layout,193,13.02136282,77.58798789
9,Basavanagudi,185,12.93578681,77.66704557
1,Whitefield,72,13.00874203,77.56125109
8,BTM Layout,79,13.0082652,77.61642419
12,BTM Layout,114,12.91953993,77.45857121
2,Malleshwaram,45,13.00893069,77.58855029
15,Jayanagar,125,12.94523877,77.52277266
18,HSR Layout,96,12.93411374,77.60491065
17,Marathahalli,13,12.92232194,77.60774996
15,Jayanagar,110,12.93641132,77.67594768
20,HSR Layout,6,13.04668622,77.61195249
20,Marathahalli,97,12.9112947,77.63428075
9,Basavanagudi,71,13.02049685,77.60889397
3,Indiranagar,47,13.07515515,77.74711323
20,Yelahanka,93,12.93760724,77.68748581
19,Indiranagar,101,12.85737802,77.67669351
18,Jayanagar,44,12.85615151,77.63817784
20,Koramangala,32,12.88487572,77.60851121
8,Jayanagar,3,12.87751121,77.55342714
1,Malleshwaram,182,13.03702131,77.68519038
15,Marathahalli,84,12.92371268,77.50688275
