Request_ID,Created_At,Category,Status,Complaint_Text,Source,Resolution_Time_Hours
49,14-06-2025 07:00,Water Leak,Resolved,Graffiti on wall,Mobile App,0.05
50,11-11-2025 19:00,Garbage,Open,Water leakage on road,Twitter,0.333333333
51,09-05-2025 01:00,Graffiti,In Progress,Broken footpath,Mobile App,0.266666667
52,12-02-2025 13:00,Garbage,Open,Garbage not collected,Email,0.25
53,10-06-2025 03:00,Pothole,In Progress,Noise from bar at night,Twitter,0.383333333
54,29-11-2025 21:00,Noise,Open,Garbage not collected,Twitter,0.25
55,14-10-2025 09:00,Pothole,Resolved,Water leakage on road,Mobile App,0.183333333
56,25-08-2025 11:00,Graffiti,In Progress,Streetlight not working,Email,0.166666667
57,07-01-2025 17:00,Garbage,Resolved,Illegal parking,Mobile App,0.1
58,29-06-2025 01:00,Garbage,In Progress,Streetlight not working,Call Center,0.4
59,11-02-2025 11:00,Noise,Open,Water leakage on road,Call Center,0.15
60,14-11-2025 21:00,Graffiti,In Progress,Pothole near school,Email,0.15
61,12-02-2025 08:00,Water Leak,Resolved,Garbage not collected,Call Center,-0.083333333
62,24-11-2025 21:00,Water Leak,In Progress,Garbage not collected,Mobile App,-0.05
63,26-09-2025 07:00,Noise,Open,Streetlight not working,Twitter,-0.066666667
64,25-11-2025 20:00,Graffiti,In Progress,Broken footpath,Call Center,0.333333333
65,13-10-2025 23:00,Noise,Resolved,Streetlight not working,Email,0.4
66,26-11-2025 20:00,Graffiti,Open,Garbage not collected,Email,0.183333333
67,22-12-2025 09:00,Pothole,Resolved,Graffiti on wall,Mobile App,0.1
68,06-02-2025 14:00,Noise,In Progress,Garbage not collected,Call Center,-0.016666667
69,23-07-2025 15:00,Graffiti,Resolved,Illegal parking,Call Center,0.4
70,22-07-2025 11:00,Water Leak,In Progress,Graffiti on wall,Call Center,0.4
71,21-09-2025 19:00,Graffiti,Open,Graffiti on wall,Email,0.083333333
72,24-12-2025 03:00,Graffiti,Resolved,Garbage not collected,Email,0.216666667
73,28-12-2025 20:00,Noise,Resolved,Overflowing garbage,Email,0.15
74,28-10-2025 08:00,Pothole,In Progress,Pothole near school,Twitter,0.4
75,08-08-2025 20:00,Pothole,Resolved,Garbage not collected,Mobile App,0.016666667
76,27-03-2025 22:00,Pothole,Resolved,Illegal parking,Twitter,0.033333333
77,03-01-2025 16:00,Pothole,Open,Broken footpath,Email,0.066666667
78,30-11-2025 14:00,Streetlight,In Progress,Water leakage on road,Call Center,0.0
79,18-04-2025 00:00,Noise,In Progress,Pothole near school,Call Center,0.366666667
80,16-08-2025 15:00,Garbage,Open,Streetlight not working,Twitter,0.25
81,26-03-2025 11:00,Noise,Open,Streetlight not working,Email,0.15
82,23-04-2025 07:00,Streetlight,In Progress,Pothole near school,Email,0.066666667
83,08-08-2025 02:00,Pothole,Open,Garbage not collected,Email,0.366666667
84,23-08-2025 02:00,Streetlight,Open,Overflowing garbage,Call Center,0.25
85,08-10-2025 16:00,Water Leak,Open,Streetlight not working,Call Center,0.183333333
86,17-01-2025 07:00,Water Leak,In Progress,Graffiti on wall,Email,0.366666667
87,03-09-2025 12:00,Noise,Open,Graffiti on wall,Twitter,0.266666667
88,29-05-2025 09:00,Noise,Resolved,Water leakage on road,Mobile App,0.0
89,15-09-2025 16:00,Garbage,Resolved,Water leakage on road,Call Center,0.216666667
90,10-05-2025 03:00,Garbage,In Progress,Garbage not collected,Call Center,0.233333333
91,19-09-2025 14:00,Water Leak,Open,Graffiti on wall,Mobile App,0.233333333
92,16-12-2025 16:00,Pothole,Resolved,Broken footpath,Email,0.0
93,10-05-2025 08:00,Streetlight,In Progress,Water leakage on road,Twitter,0.133333333
94,28-10-2025 15:00,Garbage,Resolved,Garbage not collected,Twitter,0.3
95,13-04-2025 06:00,Graffiti,Open,Water leakage on road,Email,0.366666667
96,24-04-2025 19:00,Garbage,In Progress,Streetlight not working,Call Center,0.116666667
97,06-12-2025 18:00,Pothole,Resolved,Water leakage on road,Email,0.116666667
98,30-07-2025 16:00,Pothole,In Progress,Broken footpath,Call Center,0.05
99,04-12-2025 22:00,Noise,Resolved,Pothole near school,Twitter,0.05
100,10-06-2025 00:00,Streetlight,Resolved,Noise from bar at night,Call Center,0.25
101,12-02-2025 20:00,Pothole,Open,Streetlight not working,Twitter,0.3
102,04-11-2025 17:00,Garbage,Open,Illegal parking,Twitter,0.383333333
103,21-01-2025 22:00,Garbage,Resolved,Pothole near school,Twitter,0.033333333
104,15-10-2025 22:00,Water Leak,In Progress,Garbage not collected,Call Center,0.066666667
105,17-10-2025 02:00,Pothole,In Progress,Overflowing garbage,Email,0.233333333
106,07-07-2025 00:00,Graffiti,Open,Noise from bar at night,Twitter,-0.033333333
107,09-01-2025 14:00,Noise,Resolved,Illegal parking,Email,-0.05
108,02-08-2025 22:00,Streetlight,Open,Pothole near school,Mobile App,0.116666667
109,07-09-2025 01:00,Graffiti,Resolved,Garbage not collected,Mobile App,0.25
110,18-11-2025 17:00,Noise,Resolved,Overflowing garbage,Twitter,0.033333333
111,21-10-2025 03:00,Garbage,Open,Broken footpath,Mobile App,0.3
112,03-03-2025 20:00,Graffiti,In Progress,Streetlight not working,Twitter,0.05
113,24-11-2025 10:00,Noise,Open,Streetlight not working,Call Center,0.133333333
114,05-02-2025 23:00,Garbage,Resolved,Illegal parking,Call Center,-0.083333333
115,27-04-2025 06:00,Garbage,Open,Water leakage on road,Call Center,0.133333333
116,05-11-2025 16:00,Garbage,In Progress,Garbage not collected,Email,0.1
117,02-08-2025 04:00,Garbage,In Progress,Illegal parking,Twitter,-0.033333333
118,08-09-2025 19:00,Garbage,Resolved,Illegal parking,Twitter,0.266666667
119,15-03-2025 05:00,Water Leak,Open,Graffiti on wall,Email,0.25
120,12-11-2025 14:00,Graffiti,In Progress,Graffiti on wall,Email,-0.033333333
121,23-09-2025 14:00,Noise,Open,Illegal parking,Mobile App,0.116666667
122,15-10-2025 04:00,Water Leak,In Progress,Streetlight not working,Mobile App,0.166666667
123,11-03-2025 22:00,Water Leak,Resolved,Illegal parking,Call Center,0.083333333
124,16-05-2025 02:00,Pothole,Resolved,Water leakage on road,Email,-0.05
125,13-07-2025 04:00,Pothole,Open,Water leakage on road,Email,-0.066666667
126,14-02-2025 03:00,Pothole,Resolved,Illegal parking,Email,0.316666667
127,05-10-2025 20:00,Streetlight,In Progress,Overflowing garbage,Twitter,0.333333333
128,12-05-2025 13:00,Pothole,Resolved,Noise from bar at night,Mobile App,-0.05
129,04-09-2025 11:00,Noise,In Progress,Broken footpath,Email,0.233333333
130,23-04-2025 05:00,Water Leak,In Progress,Garbage not collected,Call Center,0.183333333
131,01-06-2025 03:00,Noise,Resolved,Overflowing garbage,Twitter,-0.083333333
132,16-08-2025 02:00,Graffiti,In Progress,Water leakage on road,Email,0.333333333
133,11-03-2025 07:00,Pothole,In Progress,Streetlight not working,Mobile App,0.316666667
134,22-08-2025 00:00,Streetlight,Open,Streetlight not working,Email,0.083333333
135,05-11-2025 00:00,Graffiti,Open,Illegal parking,Mobile App,0.166666667
136,24-02-2025 10:00,Streetlight,Open,Graffiti on wall,Mobile App,0.233333333
137,10-10-2025 08:00,Graffiti,Resolved,Water leakage on road,Mobile App,0.066666667
138,02-09-2025 08:00,Water Leak,Open,Streetlight not working,Call Center,0.233333333
139,10-11-2025 14:00,Noise,In Progress,Overflowing garbage,Call Center,0.0
140,21-08-2025 07:00,Garbage,Resolved,Illegal parking,Mobile App,-0.066666667
141,19-08-2025 10:00,Noise,Resolved,Streetlight not working,Twitter,0.266666667
142,03-07-2025 21:00,Pothole,Resolved,Water leakage on road,Email,0.383333333
143,06-06-2025 04:00,Garbage,Resolved,Garbage not collected,Twitter,0.016666667
144,28-01-2025 15:00,Streetlight,In Progress,Garbage not collected,Twitter,0.183333333
145,25-03-2025 06:00,Water Leak,In Progress,Pothole near school,Email,0.033333333
146,30-11-2025 02:00,Water Leak,Open,Garbage not collected,Call Center,0.116666667
147,04-03-2025 07:00,Streetlight,Resolved,Water leakage on road,Twitter,0.266666667
148,18-05-2025 16:00,Pothole,Open,Graffiti on wall,Twitter,0.316666667
149,06-06-2025 19:00,Streetlight,In Progress,Noise from bar at night,Email,0.383333333
150,07-08-2025 00:00,Graffiti,Resolved,Illegal parking,Twitter,-0.033333333
151,19-03-2025 05:00,Pothole,In Progress,Streetlight not working,Twitter,0.083333333
152,02-10-2025 09:00,Garbage,Open,Streetlight not working,Call Center,-0.066666667
153,23-02-2025 19:00,Streetlight,In Progress,Pothole near school,Twitter,0.316666667
154,30-05-2025 05:00,Pothole,Resolved,Water leakage on road,Mobile App,0.033333333
155,11-11-2025 18:00,Garbage,Resolved,Illegal parking,Call Center,0.2
156,31-10-2025 08:00,Streetlight,Open,Graffiti on wall,Email,0.033333333
157,10-03-2025 04:00,Water Leak,Resolved,Illegal parking,Email,0.083333333
158,04-06-2025 00:00,Streetlight,In Progress,Noise from bar at night,Email,0.3
159,30-01-2025 02:00,Noise,In Progress,Illegal parking,Twitter,-0.016666667
160,17-07-2025 09:00,Streetlight,In Progress,Illegal parking,Email,0.016666667
161,05-02-2025 14:00,Noise,In Progress,Garbage not collected,Mobile App,0.283333333
162,07-12-2025 04:00,Garbage,Open,Illegal parking,Call Center,-0.033333333
163,01-09-2025 23:00,Streetlight,In Progress,Overflowing garbage,Mobile App,0.266666667
164,05-11-2025 00:00,Garbage,Open,Broken footpath,Email,0.066666667
165,30-09-2025 00:00,Garbage,In Progress,Pothole near school,Twitter,0.0
166,07-08-2025 17:00,Pothole,Open,Garbage not collected,Twitter,0.116666667
167,04-08-2025 12:00,Garbage,In Progress,Water leakage on road,Email,0.166666667
168,13-03-2025 03:00,Garbage,In Progress,Garbage not collected,Email,0.266666667
169,30-08-2025 07:00,Streetlight,Open,Garbage not collected,Email,0.316666667
170,19-08-2025 15:00,Streetlight,Resolved,Water leakage on road,Twitter,-0.066666667
171,25-07-2025 11:00,Water Leak,Resolved,Broken footpath,Mobile App,0.333333333
172,27-05-2025 06:00,Pothole,Resolved,Garbage not collected,Call Center,0.3
173,09-01-2025 10:00,Garbage,Open,Illegal parking,Email,0.15
174,25-06-2025 18:00,Pothole,Resolved,Graffiti on wall,Mobile App,0.033333333
175,02-07-2025 21:00,Noise,Resolved,Noise from bar at night,Mobile App,0.183333333
176,07-04-2025 23:00,Garbage,Open,Illegal parking,Mobile App,0.35
177,30-11-2025 12:00,Pothole,Resolved,Illegal parking,Email,0.383333333
178,03-05-2025 03:00,Water Leak,Resolved,Illegal parking,Twitter,0.133333333
179,21-11-2025 01:00,Water Leak,Resolved,Pothole near school,Mobile App,0.4
180,09-01-2025 05:00,Garbage,Open,Broken footpath,Mobile App,0.2
181,24-10-2025 21:00,Noise,Open,Water leakage on road,Mobile App,0.383333333
182,22-03-2025 10:00,Water Leak,Resolved,Water leakage on road,Call Center,0.133333333
183,19-09-2025 23:00,Water Leak,Resolved,Overflowing garbage,Mobile App,-0.033333333
184,28-06-2025 10:00,Noise,Open,Broken footpath,Mobile App,0.25
185,15-04-2025 15:00,Pothole,Resolved,Water leakage on road,Twitter,0.25
186,28-01-2025 11:00,Water Leak,Open,Graffiti on wall,Mobile App,0.266666667
187,28-04-2025 03:00,Streetlight,Resolved,Garbage not collected,Mobile App,0.283333333
188,23-10-2025 18:00,Graffiti,Open,Streetlight not working,Email,-0.083333333
189,30-09-2025 18:00,Graffiti,In Progress,Noise from bar at night,Twitter,0.283333333
190,24-03-2025 18:00,Water Leak,In Progress,Water leakage on road,Mobile App,0.0
191,14-12-2025 10:00,Pothole,Open,Pothole near school,Mobile App,-0.016666667
192,02-05-2025 07:00,Pothole,In Progress,Graffiti on wall,Call Center,0.15
193,14-03-2025 06:00,Garbage,Resolved,Graffiti on wall,Call Center,0.4
194,18-03-2025 19:00,Streetlight,Open,Broken footpath,Mobile App,0.166666667
195,28-12-2025 16:00,Pothole,Open,Streetlight not working,Call Center,0.266666667
196,05-05-2025 00:00,Noise,Resolved,Overflowing garbage,Mobile App,0.35
197,23-03-2025 15:00,Streetlight,Resolved,Overflowing garbage,Email,0.033333333
198,28-08-2025 23:00,Graffiti,Open,Streetlight not working,Call Center,0.383333333
199,06-10-2025 22:00,Streetlight,Resolved,Graffiti on wall,Email,0.366666667
200,10-04-2025 09:00,Noise,Open,Noise from bar at night,Mobile App,0.0
201,17-07-2025 08:00,Water Leak,Resolved,Streetlight not working,Call Center,-0.016666667
202,17-03-2025 02:00,Noise,Open,Illegal parking,Mobile App,0.0
203,06-12-2025 19:00,Noise,Resolved,Broken footpath,Twitter,0.316666667
204,05-12-2025 08:00,Water Leak,Resolved,Overflowing garbage,Email,0.366666667
205,03-10-2025 16:00,Water Leak,In Progress,Graffiti on wall,Twitter,-0.083333333
206,19-08-2025 14:00,Water Leak,In Progress,Noise from bar at night,Email,0.133333333
207,19-06-2025 05:00,Water Leak,In Progress,Illegal parking,Mobile App,0.216666667
208,11-01-2025 22:00,Water Leak,Resolved,Noise from bar at night,Call Center,0.216666667
209,19-09-2025 23:00,Noise,Open,Graffiti on wall,Twitter,0.316666667
210,27-03-2025 09:00,Garbage,Resolved,Pothole near school,Call Center,0.15
211,14-08-2025 23:00,Garbage,In Progress,Illegal parking,Call Center,0.216666667
212,09-07-2025 12:00,Pothole,Resolved,Broken footpath,Twitter,0.0
213,10-05-2025 12:00,Garbage,In Progress,Illegal parking,Twitter,0.316666667
214,26-10-2025 06:00,Graffiti,In Progress,Garbage not collected,Call Center,0.333333333
215,05-11-2025 08:00,Garbage,Open,Garbage not collected,Mobile App,-0.016666667
216,13-05-2025 02:00,Noise,Open,Streetlight not working,Twitter,0.333333333
217,04-04-2025 23:00,Water Leak,In Progress,Water leakage on road,Mobile App,0.166666667
218,18-02-2025 02:00,Water Leak,In Progress,Noise from bar at night,Mobile App,0.35
219,07-07-2025 11:00,Noise,Resolved,Overflowing garbage,Twitter,0.05
220,20-09-2025 07:00,Graffiti,In Progress,Water leakage on road,Mobile App,0.316666667
221,16-09-2025 05:00,Garbage,Resolved,Garbage not collected,Email,0.15
222,10-03-2025 16:00,Noise,In Progress,Broken footpath,Mobile App,0.266666667
223,19-08-2025 19:00,Pothole,Open,Pothole near school,Mobile App,0.033333333
224,24-06-2025 23:00,Water Leak,Open,Illegal parking,Mobile App,0.316666667
225,18-12-2025 21:00,Streetlight,In Progress,Streetlight not working,Call Center,0.316666667
226,17-04-2025 13:00,Pothole,Resolved,Garbage not collected,Mobile App,0.033333333
227,22-08-2025 00:00,Graffiti,Resolved,Broken footpath,Mobile App,0.383333333
228,05-01-2025 02:00,Pothole,Resolved,Pothole near school,Mobile App,-0.033333333
229,02-04-2025 16:00,Noise,In Progress,Garbage not collected,Mobile App,0.3
230,04-05-2025 09:00,Garbage,In Progress,Pothole near school,Call Center,-0.066666667
231,27-07-2025 05:00,Water Leak,Open,Broken footpath,Call Center,0.166666667
232,04-07-2025 17:00,Graffiti,Open,Water leakage on road,Call Center,-0.05
233,30-04-2025 13:00,Graffiti,In Progress,Overflowing garbage,Twitter,0.05
234,09-02-2025 20:00,Streetlight,Open,Broken footpath,Twitter,0.333333333
235,15-12-2025 00:00,Pothole,Resolved,Overflowing garbage,Call Center,-0.033333333
236,26-08-2025 11:00,Streetlight,Resolved,Garbage not collected,Twitter,-0.066666667
237,17-10-2025 08:00,Garbage,In Progress,Water leakage on road,Call Center,0.216666667
238,07-07-2025 05:00,Garbage,Resolved,Illegal parking,Mobile App,0.283333333
239,24-07-2025 15:00,Streetlight,In Progress,Overflowing garbage,Call Center,0.316666667
240,16-06-2025 03:00,Water Leak,Resolved,Garbage not collected,Call Center,0.15
241,08-09-2025 15:00,Garbage,In Progress,Broken footpath,Twitter,0.016666667
242,20-02-2025 18:00,Streetlight,Resolved,Water leakage on road,Call Center,0.033333333
243,07-07-2025 08:00,Pothole,Resolved,Overflowing garbage,Email,-0.05
244,17-07-2025 07:00,Streetlight,Open,Graffiti on wall,Mobile App,0.283333333
245,09-07-2025 19:00,Streetlight,Open,Overflowing garbage,Call Center,0.15
246,02-12-2025 10:00,Noise,Open,Garbage not collected,Call Center,-0.083333333
247,24-05-2025 14:00,Garbage,Open,Graffiti on wall,Call Center,0.166666667
248,13-02-2025 13:00,Water Leak,Open,Pothole near school,Call Center,0.366666667
249,15-10-2025 05:00,Water Leak,Open,Water leakage on road,Twitter,0.266666667
250,12-03-2025 13:00,Noise,In Progress,Garbage not collected,Twitter,-0.05
251,24-05-2025 04:00,Graffiti,In Progress,Broken footpath,Email,-0.066666667
252,03-09-2025 15:00,Water Leak,Open,Streetlight not working,Twitter,0.4
253,20-05-2025 18:00,Streetlight,In Progress,Pothole near school,Email,0.15
254,10-01-2025 09:00,Noise,Open,Overflowing garbage,Email,-0.033333333
255,23-07-2025 21:00,Pothole,In Progress,Streetlight not working,Call Center,0.35
256,20-10-2025 14:00,Garbage,Resolved,Water leakage on road,Email,0.133333333
257,22-08-2025 08:00,Garbage,In Progress,Overflowing garbage,Mobile App,0.05
258,30-11-2025 04:00,Garbage,In Progress,Pothole near school,Twitter,0.266666667
259,17-11-2025 03:00,Streetlight,In Progress,Streetlight not working,Email,0.366666667
260,13-07-2025 10:00,Pothole,Resolved,Broken footpath,Mobile App,0.05
261,16-11-2025 23:00,Noise,Open,Streetlight not working,Twitter,0.133333333
262,09-12-2025 00:00,Noise,In Progress,Overflowing garbage,Mobile App,0.15
263,02-11-2025 19:00,Garbage,In Progress,Pothole near school,Call Center,0.3
264,02-04-2025 21:00,Pothole,Resolved,Water leakage on road,Call Center,-0.016666667
265,14-02-2025 13:00,Pothole,Open,Graffiti on wall,Twitter,0.3
266,24-05-2025 12:00,Pothole,In Progress,Pothole near school,Email,-0.066666667
267,14-02-2025 04:00,Water Leak,Resolved,Garbage not collected,Mobile App,0.3
268,07-04-2025 23:00,Water Leak,Open,Broken footpath,Call Center,0.183333333
269,23-05-2025 12:00,Garbage,Open,Water leakage on road,Email,0.083333333
270,13-01-2025 13:00,Pothole,In Progress,Garbage not collected,Call Center,0.116666667
271,26-01-2025 06:00,Graffiti,In Progress,Streetlight not working,Call Center,0.1
272,13-05-2025 02:00,Pothole,In Progress,Graffiti on wall,Email,-0.05
273,30-01-2025 03:00,Noise,In Progress,Garbage not collected,Twitter,0.283333333
274,01-08-2025 00:00,Noise,Resolved,Illegal parking,Email,0.233333333
275,08-01-2025 22:00,Garbage,Resolved,Overflowing garbage,Mobile App,0.116666667
276,10-02-2025 20:00,Graffiti,In Progress,Broken footpath,Twitter,0.15
277,04-05-2025 23:00,Pothole,Open,Broken footpath,Mobile App,0.083333333
278,12-09-2025 06:00,Graffiti,In Progress,Graffiti on wall,Twitter,0.166666667
279,19-02-2025 08:00,Garbage,Open,Broken footpath,Call Center,0.016666667
280,19-05-2025 15:00,Noise,Open,Overflowing garbage,Email,-0.083333333
281,22-05-2025 10:00,Noise,Open,Garbage not collected,Mobile App,0.283333333
282,13-12-2025 15:00,Water Leak,Resolved,Pothole near school,Twitter,0.4
283,17-03-2025 16:00,Garbage,Open,Illegal parking,Call Center,0.216666667
284,01-09-2025 22:00,Garbage,Open,Broken footpath,Call Center,0.2
285,07-10-2025 13:00,Pothole,Resolved,Noise from bar at night,Email,0.05
286,24-01-2025 17:00,Pothole,Open,Garbage not collected,Email,0.2
287,15-08-2025 18:00,Water Leak,Open,Streetlight not working,Mobile App,-0.05
288,20-03-2025 23:00,Streetlight,In Progress,Illegal parking,Twitter,-0.05
289,24-04-2025 21:00,Graffiti,Open,Broken footpath,Call Center,-0.033333333
290,10-06-2025 23:00,Streetlight,Open,Illegal parking,Mobile App,0.166666667
291,07-11-2025 15:00,Streetlight,Open,Streetlight not working,Mobile App,0.083333333
292,17-06-2025 06:00,Garbage,Open,Pothole near school,Call Center,0.283333333
293,12-03-2025 06:00,Graffiti,Open,Pothole near school,Twitter,0.283333333
294,06-05-2025 09:00,Garbage,Resolved,Garbage not collected,Mobile App,0.15
295,22-11-2025 06:00,Graffiti,Open,Streetlight not working,Email,0.05
296,07-01-2025 10:00,Noise,Open,Noise from bar at night,Call Center,0.333333333
297,28-02-2025 17:00,Garbage,Resolved,Overflowing garbage,Call Center,0.033333333
298,02-02-2025 16:00,Garbage,Resolved,Graffiti on wall,Call Center,0.266666667
299,04-12-2025 08:00,Garbage,Open,Streetlight not working,Twitter,0.0
300,12-11-2025 00:00,Water Leak,Open,Broken footpath,Twitter,0.25
301,02-11-2025 23:00,Garbage,Open,Water leakage on road,Mobile App,0.2
302,28-10-2025 06:00,Pothole,In Progress,Streetlight not working,Mobile App,0.0
303,22-08-2025 04:00,Pothole,In Progress,Water leakage on road,Call Center,0.0
304,30-08-2025 17:00,Graffiti,Open,Broken footpath,Mobile App,0.1
305,27-04-2025 22:00,Noise,Resolved,Garbage not collected,Call Center,-0.016666667
306,23-01-2025 09:00,Water Leak,Open,Illegal parking,Email,0.133333333
307,07-09-2025 10:00,Graffiti,Resolved,Broken footpath,Mobile App,0.0
308,18-03-2025 17:00,Pothole,Resolved,Broken footpath,Twitter,0.25
309,30-12-2025 04:00,Water Leak,Resolved,Illegal parking,Twitter,0.35
310,18-10-2025 11:00,Water Leak,Open,Overflowing garbage,Call Center,0.4
311,23-08-2025 09:00,Noise,Open,Illegal parking,Email,0.366666667
312,03-05-2025 22:00,Water Leak,Resolved,Garbage not collected,Mobile App,0.233333333
313,30-11-2025 00:00,Garbage,In Progress,Garbage not collected,Mobile App,0.216666667
314,19-07-2025 04:00,Water Leak,In Progress,Water leakage on road,Email,0.133333333
315,09-04-2025 16:00,Noise,In Progress,Streetlight not working,Email,-0.083333333
316,05-10-2025 07:00,Graffiti,Resolved,Broken footpath,Mobile App,0.35
317,07-12-2025 13:00,Noise,Open,Garbage not collected,Call Center,0.233333333
318,07-07-2025 07:00,Noise,Resolved,Water leakage on road,Mobile App,0.383333333
319,08-09-2025 02:00,Pothole,In Progress,Illegal parking,Email,0.316666667
320,03-10-2025 14:00,Garbage,Open,Streetlight not working,Twitter,0.283333333
321,04-09-2025 15:00,Pothole,Resolved,Graffiti on wall,Mobile App,0.016666667
322,05-02-2025 13:00,Graffiti,Resolved,Water leakage on road,Email,0.016666667
323,22-06-2025 18:00,Streetlight,In Progress,Water leakage on road,Twitter,0.133333333
324,07-06-2025 01:00,Graffiti,Resolved,Graffiti on wall,Mobile App,0.233333333
325,24-01-2025 22:00,Garbage,Open,Water leakage on road,Call Center,0.166666667
326,17-02-2025 20:00,Water Leak,In Progress,Illegal parking,Call Center,0.1
327,20-09-2025 05:00,Noise,In Progress,Broken footpath,Mobile App,0.283333333
328,27-09-2025 01:00,Streetlight,Open,Broken footpath,Mobile App,0.083333333
329,09-11-2025 21:00,Garbage,In Progress,Noise from bar at night,Twitter,0.2
330,19-07-2025 01:00,Pothole,Resolved,Graffiti on wall,Call Center,0.1
331,10-06-2025 14:00,Noise,Resolved,Garbage not collected,Email,0.3
332,14-04-2025 19:00,Graffiti,In Progress,Garbage not collected,Mobile App,0.066666667
333,11-05-2025 04:00,Pothole,Open,Illegal parking,Call Center,0.3
334,26-08-2025 03:00,Garbage,Resolved,Water leakage on road,Call Center,0.316666667
335,08-05-2025 03:00,Garbage,Open,Pothole near school,Mobile App,-0.016666667
336,01-01-2025 04:00,Graffiti,Resolved,Noise from bar at night,Mobile App,0.333333333
337,06-08-2025 14:00,Streetlight,Resolved,Illegal parking,Email,0.3
338,10-08-2025 11:00,Graffiti,In Progress,Illegal parking,Mobile App,-0.066666667
339,22-07-2025 21:00,Water Leak,In Progress,Pothole near school,Email,0.066666667
340,06-02-2025 12:00,Pothole,Open,Overflowing garbage,Mobile App,0.333333333
341,20-10-2025 19:00,Streetlight,In Progress,Pothole near school,Twitter,0.3
