Request_ID,Sentiment_Score,Sentiment_Label
168,0.43,positive
169,-0.85,negative
170,0.21,positive
171,0.23,positive
172,-0.24,negative
173,-0.35,negative
174,-0.87,negative
175,-0.11,neutral
176,-0.33,negative
177,0.9,positive
178,0.35,positive
179,-0.08,neutral
180,0.51,positive
181,0.56,positive
182,-0.04,neutral
183,-0.85,negative
184,0.56,positive
185,-0.82,negative
186,0.7,positive
187,-0.33,negative
188,0.28,positive
189,0.48,positive
190,-0.93,negative
191,-0.23,negative
192,0.21,positive
193,0.7,positive
194,0.44,positive
195,0.79,positive
196,-0.83,negative
197,-0.86,negative
198,0.43,positive
199,-0.2,negative
200,-0.04,neutral
201,0.21,positive
202,0.97,positive
203,-0.87,negative
204,-0.78,negative
205,0.66,positive
206,-0.96,negative
207,-0.1,neutral
208,0.55,positive
209,-0.61,negative
210,-0.63,negative
211,-0.38,negative
212,-0.7,negative
213,0.36,positive
214,-0.6,negative
215,-0.55,negative
216,0.15,neutral
217,0.93,positive
218,0.83,positive
219,0.73,positive
220,0.06,neutral
221,-0.4,negative
222,0.41,positive
223,-0.22,negative
224,0.56,positive
225,-0.97,negative
226,0.06,neutral
227,-0.33,negative
228,-0.5,negative
229,0.32,positive
230,0.32,positive
231,-0.93,negative
232,0.9,positive
233,-0.28,negative
234,0.83,positive
235,0.17,neutral
236,0.31,positive
237,0.92,positive
238,0.64,positive
239,-0.72,negative
240,-0.99,negative
241,-0.38,negative
242,-0.02,neutral
243,0.46,positive
244,0.32,positive
245,-0.37,negative
246,0.08,neutral
247,0.3,positive
248,0.03,neutral
249,0.38,positive
250,-0.03,neutral
251,0.06,neutral
252,0.88,positive
253,-0.22,negative
254,0.51,positive
255,-0.33,negative
256,-0.34,negative
257,0.85,positive
258,0.4,positive
259,0.86,positive
260,0.99,positive
261,-1.0,
262,0.97,positive
263,-0.8,negative
264,-0.86,negative
265,0.54,positive
266,-0.3,negative
267,0.84,positive
268,0.09,neutral
269,-0.23,negative
270,-0.85,negative
271,-0.07,neutral
272,-0.44,negative
273,-0.85,negative
274,0.34,positive
275,0.95,positive
276,-0.24,negative
277,-0.41,negative
278,-0.82,negative
279,-0.55,negative
280,-0.43,negative
281,-0.31,negative
282,0.27,positive
283,-0.77,negative
284,-0.88,negative
285,0.86,positive
286,0.6,positive
287,-0.44,negative
288,0.28,positive
289,0.18,neutral
290,0.49,positive
291,0.72,positive
292,-0.28,negative
293,0.32,positive
294,0.6,positive
295,0.4,positive
296,0.84,positive
297,-0.01,neutral
298,0.61,positive
299,0.82,positive
300,0.11,neutral
301,-0.97,negative
302,0.64,positive
303,0.69,positive
304,-0.2,negative
305,-0.54,negative
306,0.96,positive
307,0.1,neutral
308,0.03,neutral
309,0.89,positive
310,-0.18,neutral
311,0.7,positive
312,0.4,positive
313,0.94,positive
314,-0.14,neutral
315,0.82,positive
316,0.14,neutral
317,-0.05,neutral
318,-0.39,negative
319,0.11,neutral
320,0.15,neutral
321,0.8,positive
322,0.41,positive
323,0.65,positive
324,0.54,positive
325,-0.45,negative
326,-0.59,negative
327,-0.48,negative
328,-0.71,negative
329,-0.23,negative
330,0.31,positive
331,0.07,neutral
332,0.36,positive
333,-0.29,negative
334,-0.59,negative
335,-0.59,negative
336,0.2,neutral
337,-0.67,negative
338,-0.21,negative
339,-0.57,negative
340,0.33,positive
341,0.23,positive
342,-0.24,negative
343,-0.74,negative
344,-0.58,negative
345,-0.06,neutral
346,0.94,positive
347,-0.46,negative
348,-0.62,negative
349,-0.56,negative
350,0.42,positive
351,0.83,positive
352,-0.85,negative
353,0.5,positive
354,-0.01,neutral
355,0.65,positive
356,-0.16,neutral
357,-0.99,negative
358,0.37,positive
359,0.62,positive
360,0.8,positive
361,0.14,neutral
362,-0.76,negative
363,-0.26,negative
364,0.57,positive
365,-0.01,neutral
366,0.4,positive
367,-0.99,negative
368,-0.85,negative
369,0.36,positive
370,-0.42,negative
371,-0.22,negative
372,0.28,positive
373,-0.78,negative
374,0.67,positive
375,-0.71,negative
376,0.47,positive
377,-0.41,negative
378,-0.48,negative
379,0.64,positive
380,0.1,neutral
381,-0.59,negative
382,-0.99,negative
383,0.95,positive
384,-0.14,neutral
385,-0.21,negative
386,-0.9,negative
387,0.79,positive
388,-0.72,negative
389,-0.33,negative
390,-0.16,neutral
391,0.62,positive
392,-0.28,negative
393,0.06,neutral
394,-0.14,neutral
395,-0.38,negative
396,0.89,positive
397,0.59,positive
398,-0.65,negative
399,0.11,neutral
400,0.59,positive
401,0.16,neutral
402,-0.01,neutral
403,-0.86,negative
404,-0.79,negative
405,-0.51,negative
406,0.03,neutral
407,0.97,positive
408,0.6,positive
409,-0.78,negative
410,0.43,positive
411,0.62,positive
412,-0.17,neutral
413,-0.34,negative
414,0.17,neutral
415,0.04,neutral
416,-0.47,negative
417,-0.21,negative
418,0.09,neutral
419,0.16,neutral
420,0.06,neutral
421,0.69,positive
422,-0.94,negative
423,-0.33,negative
424,0.5,positive
425,0.3,positive
426,0.84,positive
427,0.18,neutral
428,0.28,positive
429,0.41,positive
430,-0.63,negative
431,0.51,positive
432,-0.4,negative
433,-0.15,neutral
434,-0.97,negative
435,0.69,positive
436,0.91,positive
437,-0.88,negative
438,0.27,positive
439,0.92,positive
440,0.21,positive
441,0.6,positive
442,-0.76,negative
443,-0.51,negative
444,-0.31,negative
445,0.96,positive
446,0.56,positive
447,0.77,positive
448,-0.03,neutral
449,0.43,positive
450,0.46,positive
451,0.14,neutral
452,0.76,positive
453,-0.68,negative
454,-0.88,negative
455,-0.39,negative
456,-0.82,negative
457,-0.88,negative
458,-0.16,neutral
459,-0.6,negative
460,0.58,positive
461,0.16,neutral
462,-0.28,negative
463,-0.43,negative
464,0.13,neutral
465,-0.13,neutral
466,-0.89,negative
467,0.33,positive
468,0.0,neutral
469,-0.45,negative
470,-0.42,negative
471,-0.09,neutral
472,0.66,positive
473,-0.15,neutral
474,0.68,positive
475,-0.15,neutral
476,0.66,positive
477,0.86,positive
478,-0.96,negative
479,-0.88,negative
480,-0.73,negative
481,-0.76,negative
482,-0.09,neutral
483,0.53,positive
484,0.92,positive
485,-0.16,neutral
486,0.38,positive
487,0.27,positive
488,-0.21,negative
489,0.44,positive
490,0.18,neutral
491,0.52,positive
492,-0.61,negative
493,-0.28,negative
494,0.34,positive
495,-0.75,negative
496,0.54,positive
497,-0.73,negative
498,-0.35,negative
499,-0.52,negative
500,-0.88,negative
501,-0.46,negative
502,0.82,positive
503,-0.95,negative
504,-0.97,negative
505,0.41,positive
506,-0.27,negative
507,-0.54,negative
508,0.02,neutral
509,-0.47,negative
510,-0.22,negative
511,0.43,positive
512,-0.77,negative
513,0.92,positive
514,-0.91,negative
515,0.61,positive
516,0.45,positive
517,-0.44,negative
518,-0.76,negative
519,0.7,positive
520,0.36,positive
521,-0.42,negative
522,-0.97,negative
523,0.88,positive
524,-0.19,neutral
525,-0.65,negative
526,0.82,positive
527,-0.28,negative
528,-0.07,neutral
529,0.4,positive
530,0.64,positive
531,-0.8,negative
532,0.8,positive
533,0.87,positive
534,-0.48,negative
535,-0.01,neutral
536,0.72,positive
537,-0.03,neutral
538,-0.04,neutral
539,0.24,positive
540,0.53,positive
541,0.33,positive
542,0.25,positive
543,-0.26,negative
544,0.26,positive
545,-0.79,negative
546,-0.18,neutral
547,-0.62,negative
548,0.08,neutral
549,-0.48,negative
550,0.01,neutral
551,0.55,positive
552,-0.13,neutral
553,-0.56,negative
554,-0.55,negative
555,0.81,positive
556,0.56,positive
557,-0.93,negative
558,0.89,positive
559,-0.77,negative
560,0.31,positive
561,0.1,neutral
562,-0.91,negative
563,-0.41,negative
564,0.55,positive
565,-0.39,negative
566,-0.04,neutral
567,0.4,positive
568,-0.86,negative
569,0.67,positive
570,-0.92,negative
571,-0.48,negative
572,0.53,positive
573,0.82,positive
574,0.52,positive
575,-0.55,negative
576,0.97,positive
577,-0.17,neutral
578,-0.25,negative
579,0.73,positive
580,-0.87,negative
581,0.11,neutral
582,0.93,positive
583,-0.8,negative
584,0.08,neutral
585,-0.74,negative
586,0.78,positive
587,0.18,neutral
588,-0.53,negative
589,-0.39,negative
590,0.03,neutral
591,0.45,positive
592,-0.03,neutral
593,-0.62,negative
594,0.42,positive
595,-0.76,negative
596,0.62,positive
597,-0.21,negative
598,0.31,positive
599,-0.31,negative
600,0.34,positive
601,0.78,positive
602,0.4,positive
603,0.34,positive
604,0.51,positive
605,0.0,neutral
606,-0.56,negative
607,0.63,positive
608,0.3,positive
609,-0.37,negative
610,-0.45,negative
611,0.0,neutral
612,-0.59,negative
613,0.76,positive
614,0.58,positive
615,-0.38,negative
616,-0.9,negative
617,-0.9,negative
618,-0.41,negative
619,-0.7,negative
620,0.75,positive
621,-0.16,neutral
622,-0.3,negative
623,-0.56,negative
624,0.68,positive
625,0.58,positive
626,-0.23,negative
627,-0.66,negative
628,0.9,positive
629,-0.37,negative
630,0.54,positive
631,-0.07,neutral
632,0.56,positive
633,-0.04,neutral
634,0.85,positive
635,0.6,positive
636,-0.48,negative
637,-0.14,neutral
638,-0.8,negative
639,0.81,positive
640,-0.86,negative
641,-0.96,negative
642,-0.01,neutral
643,0.21,positive
644,-0.55,negative
645,0.14,neutral
646,0.79,positive
647,0.25,positive
648,-0.09,neutral
649,-0.71,negative
650,-0.66,negative
651,-0.03,neutral
652,-0.07,neutral
653,0.04,neutral
654,0.02,neutral
655,-0.32,negative
656,0.39,positive
657,-0.58,negative
658,0.7,positive
659,-0.61,negative
660,-0.17,neutral
661,-0.58,negative
662,0.24,positive
663,-0.04,neutral
664,-0.25,negative
665,-0.05,neutral
666,-0.16,neutral
667,0.71,positive
668,-0.75,negative
669,0.59,positive
670,0.31,positive
671,-0.3,negative
672,0.84,positive
673,-0.65,negative
674,-0.38,negative
675,-0.25,negative
676,0.3,positive
677,0.89,positive
678,0.19,neutral
679,0.71,positive
680,0.81,positive
681,-0.07,neutral
682,-0.06,neutral
683,-0.5,negative
684,0.2,neutral
685,-0.76,negative
686,0.27,positive
687,0.79,positive
688,0.52,positive
689,0.3,positive
690,0.68,positive
691,0.46,positive
692,0.06,neutral
693,0.04,neutral
694,-0.79,negative
695,-0.13,neutral
696,0.04,neutral
697,-0.06,neutral
698,0.55,positive
699,-0.68,negative
700,0.59,positive
701,0.48,positive
702,0.8,positive
703,-0.25,negative
704,-0.65,negative
705,0.52,positive
706,0.18,neutral
707,0.42,positive
708,0.99,positive
709,-0.61,negative
710,-0.18,neutral
711,-0.61,negative
712,0.72,positive
713,-0.97,negative
714,-0.73,negative
715,-0.5,negative
716,0.54,positive
717,0.26,positive
718,-0.22,negative
719,-0.68,negative
720,-0.36,negative
721,0.49,positive
722,-0.24,negative
723,-0.07,neutral
724,0.22,positive
725,0.83,positive
726,-0.5,negative
727,-0.1,neutral
728,-0.38,negative
729,-0.07,neutral
730,0.39,positive
731,-0.04,neutral
732,0.67,positive
733,0.11,neutral
734,-0.23,negative
735,0.56,positive
736,-0.14,neutral
737,0.03,neutral
738,0.99,positive
739,0.57,positive
740,0.71,positive
741,0.19,neutral
742,-0.3,negative
743,0.98,positive
744,-0.51,negative
745,0.75,positive
746,0.82,positive
747,0.64,positive
748,-0.77,negative
749,0.71,positive
750,0.33,positive
751,0.36,positive
752,0.57,positive
753,-0.02,neutral
754,-0.47,negative
755,0.15,neutral
756,-0.78,negative
757,0.35,positive
758,-0.03,neutral
759,0.0,neutral
760,-0.63,negative
761,-0.92,negative
762,0.22,positive
763,0.32,positive
764,0.0,neutral
765,0.53,positive
766,0.13,neutral
767,0.7,positive
768,-0.42,negative
769,-0.51,negative
770,-0.48,negative
771,-0.94,negative
772,0.8,positive
773,1.0,positive
774,0.63,positive
775,-0.17,neutral
776,-0.29,negative
777,0.55,positive
778,0.02,neutral
779,0.88,positive
780,-0.44,negative
781,-0.35,negative
782,1.0,positive
783,0.96,positive
784,0.77,positive
785,-0.19,neutral
786,0.68,positive
787,-0.43,negative
788,-0.49,negative
789,0.09,neutral
790,0.72,positive
791,-0.81,negative
792,0.13,neutral
793,0.22,positive
794,0.16,neutral
795,-0.56,negative
796,-0.87,negative
797,0.79,positive
798,0.15,neutral
799,0.54,positive
800,-0.27,negative
801,-0.91,negative
802,-0.48,negative
803,-0.85,negative
804,-0.84,negative
805,-0.57,negative
806,0.27,positive
807,0.64,positive
808,0.64,positive
809,0.88,positive
810,0.31,positive
811,-0.96,negative
812,-0.25,negative
813,-0.78,negative
814,0.55,positive
815,-0.76,negative
816,-0.79,negative
817,-0.94,negative
818,0.91,positive
819,0.57,positive
820,-0.33,negative
821,-0.25,negative
822,-0.88,negative
823,-0.68,negative
824,-0.38,negative
825,-0.22,negative
826,0.24,positive
827,-0.3,negative
828,0.91,positive
829,-0.31,negative
830,0.88,positive
831,0.46,positive
832,0.8,positive
833,0.41,positive
834,0.14,neutral
835,0.02,neutral
836,-0.42,negative
837,-0.4,negative
838,-0.55,negative
839,-0.23,negative
840,-0.75,negative
841,-0.22,negative
842,0.67,positive
843,0.74,positive
844,0.29,positive
845,-0.49,negative
846,-0.52,negative
847,-0.44,negative
848,0.0,neutral
849,0.95,positive
850,-0.78,negative
851,0.0,neutral
852,0.36,positive
853,-0.51,negative
854,0.94,positive
855,-0.3,negative
856,0.86,positive
857,0.19,neutral
858,-0.99,negative
859,-0.38,negative
860,-0.96,negative
861,-0.24,negative
862,0.87,positive
863,0.56,positive
864,0.24,positive
865,0.08,neutral
866,-0.25,negative
867,-0.58,negative
868,-0.87,negative
869,-0.62,negative
870,-0.3,negative
871,0.04,neutral
872,-0.59,negative
873,0.95,positive
874,-0.85,negative
875,-0.81,negative
876,0.37,positive
877,0.51,positive
878,0.94,positive
879,0.06,neutral
880,-0.67,negative
881,0.88,positive
882,0.96,positive
883,0.85,positive
884,0.74,positive
885,-0.84,negative
886,0.71,positive
887,0.91,positive
888,0.1,neutral
889,0.55,positive
890,0.32,positive
891,-0.42,negative
892,0.18,neutral
893,0.78,positive
894,-0.01,neutral
895,0.18,neutral
896,0.06,neutral
897,-0.44,negative
898,0.29,positive
899,0.02,neutral
900,-0.53,negative
901,0.79,positive
902,0.9,positive
903,-0.89,negative
904,0.24,positive
905,-0.17,neutral
906,0.05,neutral
907,-0.25,negative
908,-0.05,neutral
909,-0.35,negative
910,-0.76,negative
911,-0.4,negative
912,0.34,positive
913,-0.9,negative
914,-0.23,negative
915,-0.92,negative
916,-0.29,negative
917,-0.82,negative
918,-0.32,negative
919,0.68,positive
920,0.23,positive
921,0.36,positive
922,0.01,neutral
923,0.84,positive
924,0.08,neutral
925,-0.79,negative
926,0.87,positive
927,-0.73,negative
928,1.0,positive
929,-0.13,neutral
930,-0.85,negative
931,0.73,positive
932,-0.81,negative
933,-0.65,negative
934,-0.17,neutral
935,0.35,positive
936,-0.76,negative
937,0.25,positive
938,0.56,positive
939,-0.75,negative
940,0.3,positive
941,0.92,positive
942,0.93,positive
943,-0.68,negative
944,0.52,positive
945,0.69,positive
946,0.78,positive
947,-0.35,negative
948,-0.46,negative
949,-0.9,negative
950,-0.2,negative
951,-0.75,negative
952,0.57,positive
953,-0.71,negative
954,0.64,positive
955,-0.78,negative
956,-0.04,neutral
957,-0.23,negative
958,0.2,neutral
959,0.04,neutral
960,0.2,neutral
961,-1.0,
962,-0.74,negative
963,0.03,neutral
964,-0.54,negative
965,-0.85,negative
966,-0.56,negative
967,0.56,positive
968,0.08,neutral
969,-0.62,negative
970,-0.97,negative
971,-0.28,negative
972,-0.29,negative
973,0.47,positive
974,0.84,positive
975,-0.26,negative
976,0.38,positive
977,0.27,positive
978,-0.16,neutral
979,-0.87,negative
980,-0.05,neutral
981,-0.29,negative
982,0.1,neutral
983,-0.75,negative
984,0.45,positive
985,0.58,positive
986,-0.22,negative
987,-0.65,negative
988,0.25,positive
989,0.91,positive
990,0.4,positive
991,-0.75,negative
992,-0.21,negative
993,0.83,positive
994,0.27,positive
995,-0.71,negative
996,0.45,positive
997,-0.29,negative
998,-0.02,neutral
999,-0.17,neutral
1000,0.45,positive
1001,-0.56,negative
1002,-0.22,negative
1003,0.49,positive
1004,0.41,positive
1005,-0.6,negative
1006,-0.3,negative
1007,-0.97,negative
1008,0.06,neutral
1009,-0.44,negative
1010,-0.98,negative
1011,-0.15,neutral
1012,0.85,positive
1013,0.85,positive
1014,-0.26,negative
1015,-0.1,neutral
1016,-0.51,negative
1017,-0.86,negative
1018,0.39,positive
1019,0.6,positive
1020,0.76,positive
1021,0.87,positive
1022,0.83,positive
1023,-0.95,negative
1024,0.96,positive
1025,-0.24,negative
1026,0.77,positive
1027,-0.12,neutral
1028,-0.16,neutral
1029,-0.98,negative
1030,-0.9,negative
1031,0.34,positive
1032,0.88,positive
1033,-0.55,negative
1034,-0.81,negative
1035,-0.57,negative
1036,-0.58,negative
1037,-0.41,negative
1038,-0.81,negative
1039,-0.53,negative
1040,0.84,positive
1041,0.78,positive
1042,-0.37,negative
1043,0.99,positive
1044,-0.4,negative
1045,0.44,positive
1046,0.29,positive
1047,-0.87,negative
1048,-0.32,negative
1049,0.9,positive
1050,-0.9,negative
1051,-0.65,negative
1052,0.94,positive
1053,-0.92,negative
1054,-0.11,neutral
1055,0.84,positive
1056,0.89,positive
1057,0.96,positive
1058,-0.04,neutral
1059,-0.83,negative
1060,0.55,positive
1061,0.42,positive
1062,0.16,neutral
1063,0.78,positive
1064,0.82,positive
1065,0.37,positive
1066,-0.78,negative
1067,-0.81,negative
1068,-0.18,neutral
1069,-0.41,negative
1070,-0.73,negative
1071,0.22,positive
1072,0.37,positive
1073,0.4,positive
1074,-0.65,negative
1075,-0.39,negative
1076,-0.6,negative
1077,0.2,neutral
1078,0.13,neutral
1079,0.01,neutral
1080,-0.41,negative
1081,-0.53,negative
1082,0.78,positive
1083,-0.9,negative
1084,0.31,positive
1085,-0.96,negative
1086,-0.61,negative
1087,-0.42,negative
1088,0.77,positive
1089,-0.72,negative
1090,0.88,positive
1091,0.63,positive
1092,0.36,positive
1093,-0.18,neutral
1094,0.81,positive
1095,0.06,neutral
1096,-0.26,negative
1097,0.17,neutral
1098,-0.54,negative
1099,-0.45,negative
1100,0.84,positive
1101,0.59,positive
1102,0.03,neutral
1103,-0.17,neutral
1104,0.62,positive
1105,0.14,neutral
1106,-0.17,neutral
1107,0.03,neutral
1108,-0.53,negative
1109,-0.6,negative
1110,0.98,positive
1111,0.94,positive
1112,-0.16,neutral
1113,0.03,neutral
1114,0.65,positive
1115,0.45,positive
1116,-0.8,negative
1117,-0.25,negative
1118,-0.5,negative
1119,0.99,positive
1120,0.5,positive
1121,-0.9,negative
1122,0.8,positive
1123,0.86,positive
1124,-0.33,negative
1125,0.28,positive
1126,0.36,positive
1127,0.46,positive
1128,0.39,positive
1129,0.12,neutral
1130,0.91,positive
1131,0.02,neutral
1132,-0.78,negative
1133,-0.84,negative
1134,-0.96,negative
1135,-0.14,neutral
1136,-0.45,negative
1137,0.79,positive
1138,0.73,positive
1139,0.68,positive
1140,0.73,positive
1141,-0.4,negative
1142,-0.15,neutral
1143,-0.38,negative
1144,-0.83,negative
1145,0.85,positive
1146,0.23,positive
1147,-0.73,negative
1148,-0.59,negative
1149,-0.1,neutral
1150,-0.9,negative
1151,-0.46,negative
1152,0.41,positive
1153,0.84,positive
1154,0.86,positive
1155,0.04,neutral
1156,-0.38,negative
1157,0.84,positive
1158,0.57,positive
1159,0.17,neutral
1160,0.67,positive
1161,-0.08,neutral
1162,-0.78,negative
1163,0.88,positive
1164,0.07,neutral
1165,0.39,positive
1166,-0.22,negative
1167,-0.73,negative
1168,-0.46,negative
1169,-0.91,negative
1170,-0.82,negative
1171,-0.59,negative
1172,0.12,neutral
1173,0.99,positive
1174,0.69,positive
1175,-0.83,negative
1176,0.68,positive
1177,0.07,neutral
1178,0.32,positive
1179,-0.74,negative
1180,-0.21,negative
1181,0.77,positive
1182,-0.15,neutral
1183,-0.75,negative
1184,-0.38,negative
1185,-0.56,negative
1186,0.37,positive
1187,0.82,positive
1188,0.47,positive
1189,0.69,positive
1190,0.61,positive
1191,-0.97,negative
1192,-0.75,negative
1193,-0.15,neutral
1194,-0.78,negative
1195,0.47,positive
1196,-0.86,negative
1197,-0.17,neutral
1198,-0.22,negative
1199,0.09,neutral
1200,0.26,positive
1201,0.89,positive
1202,-0.46,negative
1203,0.33,positive
1204,-0.93,negative
1205,-1.0,
1206,-0.95,negative
1207,-0.1,neutral
1208,0.11,neutral
1209,-0.99,negative
1210,-0.21,negative
1211,-0.92,negative
1212,0.31,positive
1213,0.26,positive
1214,0.57,positive
1215,0.09,neutral
1216,0.25,positive
1217,-0.44,negative
1218,-0.83,negative
1219,0.47,positive
1220,0.22,positive
1221,0.88,positive
1222,0.98,positive
1223,0.69,positive
1224,0.97,positive
1225,0.29,positive
1226,-0.82,negative
1227,-0.82,negative
1228,0.61,positive
1229,-0.53,negative
1230,-0.88,negative
1231,-0.06,neutral
1232,-0.37,negative
1233,0.18,neutral
1234,0.2,neutral
1235,0.36,positive
1236,0.15,neutral
1237,-0.24,negative
1238,-0.95,negative
1239,0.81,positive
1240,-0.35,negative
1241,0.01,neutral
1242,0.11,neutral
1243,-0.37,negative
1244,-0.38,negative
1245,-0.48,negative
1246,-0.51,negative
1247,-0.94,negative
1248,0.92,positive
1249,0.19,neutral
1250,-0.78,negative
1251,0.18,neutral
1252,-0.54,negative
1253,-0.38,negative
1254,0.6,positive
1255,0.77,positive
1256,0.4,positive
1257,0.87,positive
1258,0.81,positive
1259,0.1,neutral
1260,0.82,positive
1261,0.09,neutral
1262,-0.79,negative
1263,0.66,positive
1264,-0.74,negative
1265,-0.37,negative
1266,-0.24,negative
1267,0.61,positive
1268,-0.83,negative
1269,-0.11,neutral
1270,-0.13,neutral
1271,0.16,neutral
1272,-0.29,negative
1273,0.15,neutral
1274,0.97,positive
1275,-0.86,negative
1276,0.75,positive
1277,-0.38,negative
1278,-0.07,neutral
1279,0.48,positive
1280,0.82,positive
1281,-0.98,negative
1282,0.32,positive
1283,-0.86,negative
1284,0.05,neutral
1285,0.5,positive
1286,-0.66,negative
1287,0.53,positive
1288,-0.38,negative
1289,0.22,positive
1290,0.32,positive
1291,0.3,positive
1292,-0.96,negative
1293,-0.7,negative
1294,0.71,positive
1295,0.88,positive
1296,0.13,neutral
1297,0.19,neutral
1298,0.51,positive
1299,-0.19,neutral
1300,-0.34,negative
1301,0.54,positive
1302,-0.94,negative
1303,0.77,positive
1304,-0.12,neutral
1305,0.01,neutral
1306,0.27,positive
1307,-0.45,negative
1308,0.19,neutral
1309,0.39,positive
1310,-0.76,negative
1311,0.04,neutral
1312,-0.34,negative
1313,0.11,neutral
1314,-0.96,negative
1315,0.49,positive
1316,-0.66,negative
1317,0.38,positive
1318,0.54,positive
1319,0.51,positive
1320,0.64,positive
1321,-0.38,negative
1322,0.93,positive
1323,-0.95,negative
1324,-0.04,neutral
1325,-0.46,negative
1326,0.48,positive
1327,0.61,positive
1328,0.64,positive
1329,-0.41,negative
1330,-0.45,negative
1331,0.35,positive
1332,0.86,positive
1333,-0.49,negative
1334,0.82,positive
1335,0.18,neutral
1336,0.48,positive
1337,-0.12,neutral
1338,0.61,positive
1339,0.94,positive
1340,-0.66,negative
1341,-0.23,negative
1342,0.72,positive
1343,-0.65,negative
1344,-0.17,neutral
1345,-0.67,negative
1346,0.3,positive
1347,-0.52,negative
1348,-0.24,negative
1349,-0.02,neutral
1350,-0.41,negative
1351,0.36,positive
1352,-0.78,negative
1353,0.76,positive
1354,-0.04,neutral
1355,0.15,neutral
1356,0.24,positive
1357,-0.88,negative
1358,0.51,positive
1359,0.89,positive
1360,0.04,neutral
1361,-0.22,negative
1362,0.57,positive
1363,0.44,positive
1364,0.3,positive
1365,0.93,positive
1366,0.16,neutral
1367,-0.5,negative
1368,-0.95,negative
1369,-0.09,neutral
1370,0.3,positive
1371,-0.66,negative
1372,-0.95,negative
1373,0.82,positive
1374,-0.4,negative
1375,-0.07,neutral
1376,-0.82,negative
1377,-0.24,negative
1378,-0.15,neutral
1379,0.81,positive
1380,0.73,positive
1381,-0.62,negative
1382,0.11,neutral
1383,0.46,positive
1384,-0.42,negative
1385,-0.21,negative
1386,0.97,positive
1387,0.52,positive
1388,-0.13,neutral
1389,0.07,neutral
1390,0.25,positive
1391,0.0,neutral
1392,-0.18,neutral
1393,-0.28,negative
1394,-0.66,negative
1395,0.95,positive
1396,-0.82,negative
1397,0.2,neutral
1398,0.92,positive
1399,-0.25,negative
