Request_ID,Month,Quarter,Day_of_Week
139,11,Q4,Monday
140,8,Q3,Thursday
141,8,Q3,Tuesday
142,7,Q3,Thursday
143,6,Q2,Friday
144,1,Q1,Tuesday
145,3,Q1,Tuesday
146,11,Q4,Sunday
147,3,Q1,Tuesday
148,5,Q2,Sunday
149,6,Q2,Friday
150,8,Q3,Thursday
151,3,Q1,Wednesday
152,10,Q4,Thursday
153,2,Q1,Sunday
154,5,Q2,Friday
155,11,Q4,Tuesday
156,10,Q4,Friday
157,3,Q1,Monday
158,6,Q2,Wednesday
159,1,Q1,Thursday
160,7,Q3,Thursday
161,2,Q1,Wednesday
162,12,Q4,Sunday
163,9,Q3,Monday
164,11,Q4,Wednesday
165,9,Q3,Tuesday
166,8,Q3,Thursday
167,8,Q3,Monday
168,3,Q1,Thursday
169,8,Q3,Saturday
170,8,Q3,Tuesday
171,7,Q3,Friday
172,5,Q2,Tuesday
173,1,Q1,Thursday
174,6,Q2,Wednesday
175,7,Q3,Wednesday
176,4,Q2,Monday
177,11,Q4,Sunday
178,5,Q2,Saturday
179,11,Q4,Friday
180,1,Q1,Thursday
181,10,Q4,Friday
182,3,Q1,Saturday
183,9,Q3,Friday
184,6,Q2,Saturday
185,4,Q2,Tuesday
186,1,Q1,Tuesday
187,4,Q2,Monday
188,10,Q4,Thursday
189,9,Q3,Tuesday
190,3,Q1,Monday
191,12,Q4,Sunday
192,5,Q2,Friday
193,3,Q1,Friday
194,3,Q1,Tuesday
195,12,Q4,Sunday
196,5,Q2,Monday
197,3,Q1,Sunday
198,8,Q3,Thursday
199,10,Q4,Monday
200,4,Q2,Thursday
201,7,Q3,Thursday
202,3,Q1,Monday
203,12,Q4,Saturday
204,12,Q4,Friday
205,10,Q4,Friday
206,8,Q3,Tuesday
207,6,Q2,Thursday
208,1,Q1,Saturday
209,9,Q3,Friday
210,3,Q1,Thursday
211,8,Q3,Thursday
212,7,Q3,Wednesday
213,5,Q2,Saturday
214,10,Q4,Sunday
215,11,Q4,Wednesday
216,5,Q2,Tuesday
217,4,Q2,Friday
218,2,Q1,Tuesday
219,7,Q3,Monday
220,9,Q3,Saturday
221,9,Q3,Tuesday
222,3,Q1,Monday
223,8,Q3,Tuesday
224,6,Q2,Tuesday
225,12,Q4,Thursday
226,4,Q2,Thursday
227,8,Q3,Friday
228,1,Q1,Sunday
229,4,Q2,Wednesday
230,5,Q2,Sunday
231,7,Q3,Sunday
232,7,Q3,Friday
233,4,Q2,Wednesday
234,2,Q1,Sunday
235,12,Q4,Monday
236,8,Q3,Tuesday
237,10,Q4,Friday
238,7,Q3,Monday
239,7,Q3,Thursday
240,6,Q2,Monday
241,9,Q3,Monday
242,2,Q1,Thursday
243,7,Q3,Monday
244,7,Q3,Thursday
245,7,Q3,Wednesday
246,12,Q4,Tuesday
247,5,Q2,Saturday
248,2,Q1,Thursday
249,10,Q4,Wednesday
250,3,Q1,Wednesday
251,5,Q2,Saturday
252,9,Q3,Wednesday
253,5,Q2,Tuesday
254,1,Q1,Friday
255,7,Q3,Wednesday
256,10,Q4,Monday
257,8,Q3,Friday
258,11,Q4,Sunday
259,11,Q4,Monday
260,7,Q3,Sunday
261,11,Q4,Sunday
262,12,Q4,Tuesday
263,11,Q4,Sunday
264,4,Q2,Wednesday
265,2,Q1,Friday
266,5,Q2,Saturday
267,2,Q1,Friday
268,4,Q2,Monday
269,5,Q2,Friday
270,1,Q1,Monday
271,1,Q1,Sunday
272,5,Q2,Tuesday
273,1,Q1,Thursday
274,8,Q3,Friday
275,1,Q1,Wednesday
276,2,Q1,Monday
277,5,Q2,Sunday
278,9,Q3,Friday
279,2,Q1,Wednesday
280,5,Q2,Monday
281,5,Q2,Thursday
282,12,Q4,Saturday
283,3,Q1,Monday
284,9,Q3,Monday
285,10,Q4,Tuesday
286,1,Q1,Friday
287,8,Q3,Friday
288,3,Q1,Thursday
289,4,Q2,Thursday
290,6,Q2,Tuesday
291,11,Q4,Friday
292,6,Q2,Tuesday
293,3,Q1,Wednesday
294,5,Q2,Tuesday
295,11,Q4,Saturday
296,1,Q1,Tuesday
297,2,Q1,Friday
298,2,Q1,Sunday
299,12,Q4,Thursday
300,11,Q4,Wednesday
301,11,Q4,Sunday
302,10,Q4,Tuesday
303,8,Q3,Friday
304,8,Q3,Saturday
305,4,Q2,Sunday
306,1,Q1,Thursday
307,9,Q3,Sunday
308,3,Q1,Tuesday
309,12,Q4,Tuesday
310,10,Q4,Saturday
311,8,Q3,Saturday
312,5,Q2,Saturday
313,11,Q4,Sunday
314,7,Q3,Saturday
315,4,Q2,Wednesday
316,10,Q4,Sunday
317,12,Q4,Sunday
318,7,Q3,Monday
319,9,Q3,Monday
320,10,Q4,Friday
321,9,Q3,Thursday
322,2,Q1,Wednesday
323,6,Q2,Sunday
324,6,Q2,Saturday
325,1,Q1,Friday
326,2,Q1,Monday
327,9,Q3,Saturday
328,9,Q3,Saturday
329,11,Q4,Sunday
330,7,Q3,Saturday
331,6,Q2,Tuesday
332,4,Q2,Monday
333,5,Q2,Sunday
334,8,Q3,Tuesday
335,5,Q2,Thursday
336,1,Q1,Wednesday
337,8,Q3,Wednesday
338,8,Q3,Sunday
339,7,Q3,Tuesday
340,2,Q1,Thursday
341,10,Q4,Monday
342,6,Q2,Sunday
343,10,Q4,Saturday
344,10,Q4,Wednesday
345,11,Q4,Saturday
346,10,Q4,Saturday
347,7,Q3,Sunday
348,1,Q1,Monday
349,3,Q1,Wednesday
350,7,Q3,Friday
351,12,Q4,Saturday
352,2,Q1,Tuesday
353,8,Q3,Monday
354,12,Q4,Saturday
355,9,Q3,Friday
356,4,Q2,Tuesday
357,2,Q1,Monday
358,11,Q4,Wednesday
359,3,Q1,Saturday
360,3,Q1,Tuesday
361,2,Q1,Saturday
362,1,Q1,Wednesday
363,11,Q4,Saturday
364,8,Q3,Thursday
365,1,Q1,Friday
366,6,Q2,Tuesday
367,11,Q4,Wednesday
368,5,Q2,Tuesday
369,6,Q2,Thursday
370,1,Q1,Saturday
371,10,Q4,Sunday
372,12,Q4,Friday
373,5,Q2,Monday
374,6,Q2,Friday
375,3,Q1,Tuesday
376,5,Q2,Tuesday
377,10,Q4,Thursday
378,4,Q2,Friday
379,8,Q3,Tuesday
380,3,Q1,Monday
381,10,Q4,Friday
382,4,Q2,Monday
383,9,Q3,Sunday
384,11,Q4,Thursday
385,7,Q3,Saturday
386,9,Q3,Wednesday
387,10,Q4,Sunday
388,4,Q2,Tuesday
389,11,Q4,Tuesday
390,10,Q4,Wednesday
391,4,Q2,Monday
392,7,Q3,Saturday
393,4,Q2,Tuesday
394,12,Q4,Monday
395,9,Q3,Tuesday
396,9,Q3,Saturday
397,2,Q1,Wednesday
398,3,Q1,Wednesday
399,10,Q4,Sunday
400,4,Q2,Saturday
401,6,Q2,Monday
402,7,Q3,Wednesday
403,4,Q2,Friday
404,8,Q3,Wednesday
405,8,Q3,Wednesday
406,11,Q4,Sunday
407,8,Q3,Tuesday
408,6,Q2,Friday
409,2,Q1,Friday
410,11,Q4,Tuesday
411,7,Q3,Wednesday
412,6,Q2,Saturday
413,8,Q3,Wednesday
414,5,Q2,Wednesday
415,3,Q1,Friday
416,10,Q4,Thursday
417,1,Q1,Saturday
418,12,Q4,Saturday
419,6,Q2,Sunday
420,5,Q2,Saturday
421,2,Q1,Tuesday
422,11,Q4,Sunday
423,8,Q3,Thursday
424,1,Q1,Saturday
425,11,Q4,Tuesday
426,11,Q4,Thursday
427,1,Q1,Friday
428,10,Q4,Sunday
429,9,Q3,Sunday
430,4,Q2,Tuesday
431,5,Q2,Sunday
432,4,Q2,Sunday
433,2,Q1,Sunday
434,6,Q2,Thursday
435,3,Q1,Friday
436,7,Q3,Thursday
437,8,Q3,Friday
438,3,Q1,Monday
439,10,Q4,Saturday
440,11,Q4,Monday
441,5,Q2,Saturday
442,6,Q2,Friday
443,8,Q3,Sunday
444,5,Q2,Friday
445,7,Q3,Sunday
446,9,Q3,Thursday
447,1,Q1,Friday
448,2,Q1,Wednesday
449,7,Q3,Monday
450,1,Q1,Thursday
451,10,Q4,Monday
452,1,Q1,Friday
453,11,Q4,Wednesday
454,12,Q4,Wednesday
455,6,Q2,Monday
456,7,Q3,Tuesday
457,4,Q2,Tuesday
458,1,Q1,Thursday
459,4,Q2,Saturday
460,7,Q3,Saturday
461,8,Q3,Sunday
462,12,Q4,Sunday
463,7,Q3,Sunday
464,10,Q4,Thursday
465,7,Q3,Monday
466,10,Q4,Monday
467,8,Q3,Thursday
468,11,Q4,Saturday
469,6,Q2,Sunday
470,2,Q1,Tuesday
471,2,Q1,Friday
472,3,Q1,Monday
473,11,Q4,Monday
474,8,Q3,Monday
475,8,Q3,Sunday
476,9,Q3,Tuesday
477,7,Q3,Thursday
478,11,Q4,Sunday
479,8,Q3,Monday
480,6,Q2,Monday
481,11,Q4,Sunday
482,10,Q4,Saturday
483,7,Q3,Monday
484,10,Q4,Wednesday
485,10,Q4,Wednesday
486,2,Q1,Sunday
487,4,Q2,Wednesday
488,10,Q4,Wednesday
489,3,Q1,Thursday
490,8,Q3,Saturday
491,2,Q1,Wednesday
492,9,Q3,Sunday
493,10,Q4,Friday
494,4,Q2,Tuesday
495,3,Q1,Thursday
496,9,Q3,Monday
497,8,Q3,Tuesday
498,2,Q1,Wednesday
499,12,Q4,Monday
500,12,Q4,Monday
501,11,Q4,Sunday
502,6,Q2,Sunday
503,2,Q1,Tuesday
504,5,Q2,Sunday
505,11,Q4,Thursday
506,5,Q2,Monday
507,3,Q1,Monday
508,10,Q4,Thursday
509,5,Q2,Friday
510,8,Q3,Saturday
511,6,Q2,Tuesday
512,9,Q3,Sunday
513,6,Q2,Friday
514,7,Q3,Thursday
515,7,Q3,Tuesday
516,6,Q2,Wednesday
517,10,Q4,Friday
518,12,Q4,Saturday
519,5,Q2,Friday
520,9,Q3,Tuesday
521,1,Q1,Wednesday
522,2,Q1,Thursday
523,3,Q1,Wednesday
524,11,Q4,Wednesday
525,2,Q1,Tuesday
526,2,Q1,Saturday
527,7,Q3,Tuesday
528,1,Q1,Monday
529,3,Q1,Saturday
530,6,Q2,Sunday
531,9,Q3,Sunday
532,3,Q1,Wednesday
533,7,Q3,Thursday
534,6,Q2,Monday
535,8,Q3,Monday
536,9,Q3,Monday
537,2,Q1,Saturday
538,5,Q2,Wednesday
539,8,Q3,Sunday
540,5,Q2,Monday
541,5,Q2,Friday
542,12,Q4,Tuesday
543,5,Q2,Monday
544,4,Q2,Wednesday
545,12,Q4,Saturday
546,12,Q4,Friday
547,10,Q4,Friday
548,2,Q1,Wednesday
549,7,Q3,Wednesday
550,12,Q4,Tuesday
551,11,Q4,Wednesday
552,1,Q1,Tuesday
553,7,Q3,Sunday
554,10,Q4,Sunday
555,6,Q2,Wednesday
556,4,Q2,Friday
557,11,Q4,Saturday
558,1,Q1,Thursday
559,7,Q3,Saturday
560,7,Q3,Monday
561,6,Q2,Saturday
562,9,Q3,Tuesday
563,10,Q4,Thursday
564,11,Q4,Saturday
565,8,Q3,Sunday
566,9,Q3,Saturday
567,11,Q4,Tuesday
568,4,Q2,Saturday
569,2,Q1,Saturday
570,3,Q1,Friday
571,11,Q4,Tuesday
572,5,Q2,Monday
573,8,Q3,Wednesday
574,10,Q4,Monday
575,1,Q1,Saturday
576,7,Q3,Sunday
577,3,Q1,Tuesday
578,1,Q1,Wednesday
579,4,Q2,Wednesday
580,11,Q4,Wednesday
581,11,Q4,Thursday
582,8,Q3,Saturday
583,2,Q1,Wednesday
584,4,Q2,Wednesday
585,12,Q4,Wednesday
586,11,Q4,Friday
587,6,Q2,Monday
588,6,Q2,Friday
589,10,Q4,Saturday
590,10,Q4,Friday
591,7,Q3,Saturday
592,6,Q2,Monday
593,3,Q1,Monday
594,10,Q4,Thursday
595,12,Q4,Monday
596,1,Q1,Friday
597,1,Q1,Friday
598,12,Q4,Sunday
599,3,Q1,Tuesday
600,9,Q3,Sunday
601,3,Q1,Sunday
602,10,Q4,Monday
603,10,Q4,Saturday
604,6,Q2,Sunday
605,7,Q3,Sunday
606,6,Q2,Tuesday
607,10,Q4,Wednesday
608,10,Q4,Friday
609,9,Q3,Sunday
610,3,Q1,Thursday
611,7,Q3,Saturday
612,1,Q1,Thursday
613,11,Q4,Thursday
614,8,Q3,Wednesday
615,7,Q3,Wednesday
616,7,Q3,Sunday
617,5,Q2,Friday
618,10,Q4,Wednesday
619,1,Q1,Saturday
620,2,Q1,Sunday
621,7,Q3,Tuesday
622,2,Q1,Friday
623,12,Q4,Thursday
624,12,Q4,Wednesday
625,11,Q4,Wednesday
626,7,Q3,Tuesday
627,9,Q3,Tuesday
628,7,Q3,Wednesday
629,4,Q2,Monday
630,5,Q2,Wednesday
631,2,Q1,Saturday
632,10,Q4,Sunday
633,7,Q3,Monday
634,7,Q3,Tuesday
635,10,Q4,Tuesday
636,10,Q4,Friday
637,9,Q3,Thursday
638,12,Q4,Monday
639,10,Q4,Friday
640,10,Q4,Sunday
641,2,Q1,Tuesday
642,6,Q2,Friday
643,11,Q4,Saturday
644,8,Q3,Saturday
645,7,Q3,Sunday
646,7,Q3,Tuesday
647,5,Q2,Tuesday
648,11,Q4,Wednesday
649,4,Q2,Tuesday
650,7,Q3,Wednesday
651,10,Q4,Tuesday
652,1,Q1,Monday
653,9,Q3,Sunday
654,5,Q2,Sunday
655,8,Q3,Saturday
656,4,Q2,Tuesday
657,5,Q2,Friday
658,9,Q3,Saturday
659,6,Q2,Monday
660,11,Q4,Thursday
661,8,Q3,Thursday
662,6,Q2,Sunday
663,9,Q3,Friday
664,6,Q2,Monday
665,3,Q1,Friday
666,9,Q3,Thursday
667,2,Q1,Saturday
668,11,Q4,Sunday
669,11,Q4,Monday
670,9,Q3,Wednesday
671,9,Q3,Thursday
672,9,Q3,Tuesday
673,11,Q4,Monday
674,12,Q4,Saturday
675,3,Q1,Thursday
676,5,Q2,Saturday
677,1,Q1,Tuesday
678,6,Q2,Tuesday
679,1,Q1,Tuesday
680,10,Q4,Friday
681,11,Q4,Wednesday
682,11,Q4,Friday
683,8,Q3,Saturday
684,8,Q3,Thursday
685,7,Q3,Saturday
686,6,Q2,Thursday
687,10,Q4,Monday
688,10,Q4,Saturday
689,9,Q3,Tuesday
690,1,Q1,Wednesday
691,4,Q2,Thursday
692,4,Q2,Saturday
693,10,Q4,Wednesday
694,10,Q4,Friday
695,9,Q3,Monday
696,8,Q3,Thursday
697,9,Q3,Sunday
698,4,Q2,Wednesday
699,6,Q2,Sunday
700,6,Q2,Sunday
701,7,Q3,Friday
702,2,Q1,Sunday
703,8,Q3,Sunday
704,1,Q1,Monday
705,1,Q1,Monday
706,1,Q1,Friday
707,12,Q4,Tuesday
708,12,Q4,Saturday
709,3,Q1,Sunday
710,1,Q1,Thursday
711,10,Q4,Saturday
712,7,Q3,Saturday
713,8,Q3,Saturday
714,8,Q3,Saturday
715,3,Q1,Monday
716,2,Q1,Saturday
717,4,Q2,Sunday
718,9,Q3,Monday
719,9,Q3,Tuesday
720,3,Q1,Wednesday
721,12,Q4,Sunday
722,5,Q2,Tuesday
723,11,Q4,Sunday
724,10,Q4,Friday
725,10,Q4,Tuesday
726,3,Q1,Friday
727,5,Q2,Friday
728,12,Q4,Saturday
729,8,Q3,Thursday
730,2,Q1,Friday
731,3,Q1,Monday
732,2,Q1,Monday
733,9,Q3,Wednesday
734,11,Q4,Saturday
735,1,Q1,Monday
736,7,Q3,Sunday
737,9,Q3,Saturday
738,5,Q2,Friday
739,9,Q3,Monday
740,11,Q4,Wednesday
741,12,Q4,Thursday
742,1,Q1,Friday
743,9,Q3,Tuesday
744,6,Q2,Wednesday
745,11,Q4,Thursday
746,10,Q4,Wednesday
747,10,Q4,Wednesday
748,4,Q2,Monday
749,4,Q2,Friday
750,8,Q3,Thursday
751,3,Q1,Saturday
752,2,Q1,Thursday
753,6,Q2,Sunday
754,3,Q1,Sunday
755,3,Q1,Friday
756,3,Q1,Saturday
757,8,Q3,Saturday
758,10,Q4,Thursday
759,10,Q4,Sunday
760,5,Q2,Tuesday
761,6,Q2,Thursday
762,12,Q4,Thursday
763,4,Q2,Friday
764,2,Q1,Friday
765,6,Q2,Monday
766,8,Q3,Monday
767,1,Q1,Wednesday
768,11,Q4,Sunday
769,12,Q4,Saturday
770,12,Q4,Monday
771,9,Q3,Saturday
772,1,Q1,Sunday
773,4,Q2,Thursday
774,8,Q3,Wednesday
775,6,Q2,Saturday
776,2,Q1,Wednesday
777,9,Q3,Sunday
778,9,Q3,Saturday
779,1,Q1,Friday
780,6,Q2,Wednesday
781,9,Q3,Friday
782,3,Q1,Thursday
783,9,Q3,Wednesday
784,3,Q1,Tuesday
785,3,Q1,Friday
786,6,Q2,Thursday
787,10,Q4,Sunday
788,3,Q1,Wednesday
789,6,Q2,Friday
790,1,Q1,Wednesday
791,1,Q1,Saturday
792,9,Q3,Tuesday
793,4,Q2,Thursday
794,10,Q4,Tuesday
795,3,Q1,Thursday
796,8,Q3,Saturday
797,3,Q1,Sunday
798,12,Q4,Sunday
799,2,Q1,Tuesday
800,4,Q2,Tuesday
801,4,Q2,Monday
802,3,Q1,Tuesday
803,5,Q2,Monday
804,11,Q4,Saturday
805,3,Q1,Saturday
806,1,Q1,Friday
807,3,Q1,Friday
808,12,Q4,Tuesday
809,5,Q2,Wednesday
810,8,Q3,Friday
811,4,Q2,Sunday
812,12,Q4,Sunday
813,4,Q2,Thursday
814,8,Q3,Thursday
815,5,Q2,Thursday
816,9,Q3,Friday
817,8,Q3,Saturday
818,11,Q4,Sunday
819,9,Q3,Thursday
820,10,Q4,Friday
821,7,Q3,Sunday
822,5,Q2,Thursday
823,11,Q4,Tuesday
824,1,Q1,Saturday
825,11,Q4,Wednesday
826,6,Q2,Thursday
827,1,Q1,Sunday
828,2,Q1,Friday
829,3,Q1,Monday
830,10,Q4,Friday
831,11,Q4,Saturday
832,10,Q4,Wednesday
833,9,Q3,Sunday
834,8,Q3,Sunday
835,7,Q3,Monday
836,4,Q2,Wednesday
837,4,Q2,Thursday
838,4,Q2,Wednesday
839,2,Q1,Saturday
840,6,Q2,Wednesday
841,3,Q1,Tuesday
842,6,Q2,Tuesday
843,6,Q2,Tuesday
844,3,Q1,Monday
845,12,Q4,Tuesday
846,8,Q3,Friday
847,2,Q1,Thursday
848,12,Q4,Friday
849,8,Q3,Wednesday
850,11,Q4,Sunday
851,8,Q3,Thursday
852,8,Q3,Saturday
853,8,Q3,Thursday
854,12,Q4,Sunday
855,2,Q1,Saturday
856,1,Q1,Saturday
857,4,Q2,Wednesday
858,2,Q1,Sunday
859,2,Q1,Sunday
860,4,Q2,Tuesday
861,8,Q3,Tuesday
862,4,Q2,Friday
863,4,Q2,Monday
864,7,Q3,Saturday
865,3,Q1,Wednesday
866,9,Q3,Tuesday
867,11,Q4,Sunday
868,9,Q3,Tuesday
869,9,Q3,Monday
870,11,Q4,Monday
871,5,Q2,Thursday
872,6,Q2,Wednesday
873,4,Q2,Wednesday
874,5,Q2,Thursday
875,6,Q2,Friday
876,6,Q2,Thursday
877,1,Q1,Saturday
878,4,Q2,Tuesday
879,10,Q4,Wednesday
880,2,Q1,Monday
881,3,Q1,Sunday
882,8,Q3,Friday
883,9,Q3,Sunday
884,2,Q1,Monday
885,1,Q1,Wednesday
886,12,Q4,Tuesday
887,4,Q2,Saturday
888,11,Q4,Friday
889,2,Q1,Tuesday
890,11,Q4,Friday
891,2,Q1,Tuesday
892,5,Q2,Wednesday
893,10,Q4,Saturday
894,7,Q3,Saturday
895,6,Q2,Wednesday
896,9,Q3,Saturday
897,1,Q1,Monday
898,5,Q2,Tuesday
899,9,Q3,Tuesday
900,8,Q3,Friday
901,6,Q2,Sunday
902,10,Q4,Monday
903,5,Q2,Wednesday
904,6,Q2,Sunday
905,3,Q1,Sunday
906,8,Q3,Wednesday
907,5,Q2,Sunday
908,5,Q2,Friday
909,3,Q1,Monday
910,5,Q2,Wednesday
911,4,Q2,Wednesday
912,5,Q2,Friday
913,3,Q1,Wednesday
914,6,Q2,Tuesday
915,7,Q3,Monday
916,9,Q3,Monday
917,7,Q3,Tuesday
918,4,Q2,Wednesday
919,10,Q4,Friday
920,12,Q4,Tuesday
921,5,Q2,Tuesday
922,9,Q3,Saturday
923,6,Q2,Wednesday
924,11,Q4,Saturday
925,1,Q1,Thursday
926,3,Q1,Sunday
927,11,Q4,Saturday
928,12,Q4,Wednesday
929,12,Q4,Wednesday
930,12,Q4,Sunday
931,12,Q4,Thursday
932,9,Q3,Sunday
933,5,Q2,Saturday
934,10,Q4,Friday
935,7,Q3,Sunday
936,2,Q1,Thursday
937,3,Q1,Monday
938,8,Q3,Saturday
939,5,Q2,Thursday
940,9,Q3,Saturday
941,9,Q3,Sunday
942,7,Q3,Wednesday
943,7,Q3,Friday
944,4,Q2,Thursday
945,8,Q3,Thursday
946,2,Q1,Monday
947,7,Q3,Saturday
948,5,Q2,Saturday
949,1,Q1,Wednesday
950,6,Q2,Thursday
951,6,Q2,Wednesday
952,12,Q4,Monday
953,8,Q3,Monday
954,10,Q4,Tuesday
955,7,Q3,Friday
956,3,Q1,Saturday
957,4,Q2,Monday
958,12,Q4,Tuesday
959,2,Q1,Sunday
960,3,Q1,Friday
961,4,Q2,Thursday
962,7,Q3,Tuesday
963,12,Q4,Saturday
964,11,Q4,Saturday
965,10,Q4,Monday
966,3,Q1,Friday
967,2,Q1,Sunday
968,8,Q3,Sunday
969,10,Q4,Saturday
970,7,Q3,Thursday
971,8,Q3,Thursday
972,8,Q3,Saturday
973,7,Q3,Friday
974,9,Q3,Monday
975,5,Q2,Monday
976,12,Q4,Monday
977,7,Q3,Wednesday
978,3,Q1,Monday
979,9,Q3,Saturday
980,5,Q2,Saturday
981,1,Q1,Friday
982,11,Q4,Saturday
983,5,Q2,Sunday
984,2,Q1,Tuesday
985,9,Q3,Saturday
986,12,Q4,Sunday
987,10,Q4,Tuesday
988,5,Q2,Sunday
989,5,Q2,Sunday
990,10,Q4,Wednesday
991,10,Q4,Tuesday
992,11,Q4,Friday
993,6,Q2,Tuesday
994,5,Q2,Thursday
995,11,Q4,Saturday
996,3,Q1,Monday
997,8,Q3,Tuesday
998,4,Q2,Wednesday
999,7,Q3,Wednesday
1000,8,Q3,Saturday
1001,12,Q4,Monday
1002,10,Q4,Friday
1003,7,Q3,Monday
1004,2,Q1,Tuesday
1005,2,Q1,Sunday
1006,9,Q3,Sunday
1007,7,Q3,Friday
1008,4,Q2,Wednesday
1009,6,Q2,Thursday
1010,6,Q2,Tuesday
1011,5,Q2,Saturday
1012,2,Q1,Monday
1013,6,Q2,Tuesday
1014,12,Q4,Monday
1015,10,Q4,Monday
1016,9,Q3,Tuesday
1017,5,Q2,Friday
1018,7,Q3,Monday
1019,2,Q1,Friday
1020,7,Q3,Thursday
1021,7,Q3,Monday
1022,3,Q1,Thursday
1023,2,Q1,Monday
1024,2,Q1,Sunday
1025,10,Q4,Thursday
1026,9,Q3,Sunday
1027,8,Q3,Saturday
1028,2,Q1,Thursday
1029,4,Q2,Tuesday
1030,3,Q1,Saturday
1031,12,Q4,Sunday
1032,6,Q2,Wednesday
1033,7,Q3,Monday
1034,4,Q2,Saturday
1035,5,Q2,Tuesday
1036,4,Q2,Friday
1037,4,Q2,Saturday
1038,6,Q2,Wednesday
1039,12,Q4,Thursday
1040,2,Q1,Monday
1041,11,Q4,Tuesday
1042,9,Q3,Tuesday
1043,2,Q1,Monday
1044,4,Q2,Wednesday
1045,3,Q1,Thursday
1046,10,Q4,Saturday
1047,12,Q4,Friday
1048,1,Q1,Saturday
1049,10,Q4,Saturday
1050,8,Q3,Sunday
1051,12,Q4,Wednesday
1052,10,Q4,Monday
1053,8,Q3,Saturday
1054,10,Q4,Saturday
1055,3,Q1,Sunday
1056,12,Q4,Tuesday
1057,1,Q1,Wednesday
1058,3,Q1,Friday
1059,11,Q4,Sunday
1060,1,Q1,Monday
1061,6,Q2,Friday
1062,9,Q3,Saturday
1063,12,Q4,Saturday
1064,5,Q2,Sunday
1065,5,Q2,Wednesday
1066,11,Q4,Saturday
