Request_ID,Delay_Severity,NeedScore
181,Heavy Delay,72.22
182,On-Time,20.33
183,Early,55.14
184,Slight Delay,61.19
185,Slight Delay,76.79
186,Slight Delay,70.97
187,Slight Delay,50.14
188,Early,16.8
189,Slight Delay,59.14
190,On-Time,62.7
191,Early,19.32
192,On-Time,31.91
193,Heavy Delay,82.0
194,Slight Delay,47.09
195,Slight Delay,76.37
196,Heavy Delay,85.66
197,On-Time,61.26
198,Heavy Delay,64.42
199,Heavy Delay,49.24
200,On-Time,9.3
201,Early,18.12
202,On-Time,65.1
203,Slight Delay,85.3
204,Heavy Delay,84.04
205,Early,39.6
206,On-Time,75.53
207,Slight Delay,30.83
208,Slight Delay,57.83
209,Slight Delay,69.7
210,On-Time,57.11
211,Slight Delay,47.63
212,On-Time,48.9
213,Slight Delay,54.7
214,Heavy Delay,70.48
215,Early,38.52
216,Heavy Delay,43.48
217,Slight Delay,76.49
218,Heavy Delay,85.66
219,On-Time,54.83
220,Slight Delay,36.7
221,On-Time,43.31
222,Slight Delay,53.57
223,On-Time,22.86
224,Slight Delay,66.7
225,Slight Delay,91.3
226,On-Time,13.26
227,Heavy Delay,58.42
228,Early,34.14
229,Slight Delay,50.92
230,Early,20.58
231,Slight Delay,76.49
232,Early,56.76
233,On-Time,27.83
234,Heavy Delay,84.28
235,Early,14.34
236,Early,19.98
237,Slight Delay,80.03
238,Slight Delay,68.74
239,Slight Delay,76.3
240,On-Time,78.71
241,On-Time,31.08
242,On-Time,10.86
243,Early,30.36
244,Slight Delay,49.54
245,On-Time,41.51
246,Early,4.8
247,Slight Delay,38.69
248,Heavy Delay,39.04
249,Slight Delay,51.77
250,Early,4.56
251,Early,4.98
252,Heavy Delay,92.8
253,On-Time,32.51
254,Early,34.74
255,Heavy Delay,55.66
256,On-Time,38.33
257,On-Time,62.03
258,Slight Delay,52.97
259,Heavy Delay,88.84
260,On-Time,70.43
261,On-Time,77.93
262,On-Time,77.51
263,Slight Delay,79.72
264,Early,57.12
265,Slight Delay,64.12
266,Early,19.38
267,Slight Delay,82.12
268,Slight Delay,27.47
269,On-Time,27.59
270,On-Time,67.55
271,On-Time,19.37
272,Early,29.16
273,Slight Delay,81.34
274,Slight Delay,46.61
275,On-Time,73.55
276,On-Time,33.71
277,On-Time,38.39
278,Slight Delay,69.89
279,On-Time,41.28
280,Early,25.8
281,Slight Delay,48.94
282,Heavy Delay,56.2
283,Slight Delay,71.03
284,Slight Delay,76.25
285,On-Time,62.63
286,Slight Delay,59.45
287,Early,29.16
288,Early,19.56
289,Early,14.94
290,Slight Delay,50.09
291,On-Time,56.99
292,Slight Delay,47.14
293,Slight Delay,49.54
294,On-Time,55.31
295,On-Time,35.03
296,Heavy Delay,84.88
297,On-Time,10.26
298,Slight Delay,65.57
299,On-Time,56.1
300,Slight Delay,34.19
301,Slight Delay,81.65
302,On-Time,45.3
303,On-Time,48.3
304,On-Time,27.17
305,Early,37.92
306,On-Time,75.53
307,On-Time,12.9
308,Slight Delay,29.39
309,Heavy Delay,89.26
310,Heavy Delay,50.8
311,Heavy Delay,79.24
312,Slight Delay,50.21
313,Slight Delay,81.23
314,On-Time,26.33
315,Early,49.2
316,Heavy Delay,44.26
317,Slight Delay,29.21
318,Heavy Delay,62.02
319,Slight Delay,39.7
320,Slight Delay,39.34
321,On-Time,56.28
322,On-Time,32.88
323,On-Time,56.93
324,Slight Delay,58.61
325,Slight Delay,47.69
326,On-Time,50.57
327,Slight Delay,59.14
328,On-Time,56.39
329,Slight Delay,37.25
330,On-Time,33.77
331,Slight Delay,35.92
332,On-Time,34.01
333,Slight Delay,49.12
334,Slight Delay,68.5
335,Early,40.92
336,Heavy Delay,46.48
337,Slight Delay,71.92
338,Early,13.98
339,On-Time,46.61
340,Heavy Delay,54.28
341,Slight Delay,45.52
342,Heavy Delay,48.88
343,Slight Delay,65.09
344,Slight Delay,67.9
345,On-Time,10.5
346,On-Time,63.3
347,Slight Delay,53.81
348,Heavy Delay,75.82
349,Slight Delay,65.32
350,Slight Delay,55.54
351,On-Time,64.97
352,On-Time,62.03
353,Slight Delay,52.07
354,On-Time,13.01
355,On-Time,48.66
356,Slight Delay,41.32
357,On-Time,70.43
358,On-Time,30.48
359,Slight Delay,70.3
360,On-Time,60.41
361,Slight Delay,40.12
362,Slight Delay,78.7
363,Slight Delay,48.7
364,Early,34.2
365,Slight Delay,25.43
366,Slight Delay,52.97
367,Heavy Delay,96.64
368,On-Time,64.79
369,Slight Delay,51.94
370,Slight Delay,51.41
371,On-Time,25.61
372,Early,18.18
373,On-Time,64.73
374,On-Time,55.37
375,Early,46.74
376,Slight Delay,57.17
377,On-Time,41.15
378,Slight Delay,55.01
379,Heavy Delay,75.64
380,On-Time,18.41
381,Early,36.78
382,Slight Delay,92.5
383,Slight Delay,79.07
384,On-Time,20.81
385,Slight Delay,42.94
386,Slight Delay,74.69
387,On-Time,58.43
388,Slight Delay,68.03
389,On-Time,33.59
390,On-Time,16.5
391,Slight Delay,70.3
392,Slight Delay,49.9
393,Early,7.74
394,Slight Delay,29.09
395,On-Time,37.97
396,Slight Delay,85.12
397,Slight Delay,67.12
398,Heavy Delay,74.86
399,Slight Delay,27.29
400,Slight Delay,65.74
401,Slight Delay,38.57
402,Early,3.36
403,On-Time,66.77
404,On-Time,66.71
405,Slight Delay,56.81
406,Heavy Delay,41.8
407,On-Time,73.37
408,On-Time,47.03
409,On-Time,59.21
410,Slight Delay,56.14
411,Heavy Delay,73.06
412,On-Time,19.86
413,On-Time,36.95
414,Slight Delay,39.17
415,On-Time,21.71
416,Heavy Delay,65.44
417,Slight Delay,34.67
418,Heavy Delay,41.26
419,On-Time,24.77
420,Slight Delay,24.29
421,Slight Delay,74.5
422,On-Time,70.19
423,Slight Delay,44.63
424,Heavy Delay,68.62
425,On-Time,34.55
426,Early,53.16
427,Slight Delay,43.9
428,Early,20.94
429,Slight Delay,56.32
430,On-Time,57.11
431,On-Time,48.53
432,Heavy Delay,61.24
433,On-Time,22.79
434,Heavy Delay,95.44
435,On-Time,57.95
436,Slight Delay,80.81
437,Slight Delay,76.25
438,On-Time,32.75
439,Slight Delay,82.79
440,Heavy Delay,48.46
441,Slight Delay,60.83
442,Early,49.74
443,On-Time,45.77
444,Early,21.36
445,Slight Delay,78.29
446,Early,33.6
447,Early,50.34
448,On-Time,12.83
449,Slight Delay,56.14
450,On-Time,44.15
451,Slight Delay,37.37
452,Heavy Delay,85.6
453,On-Time,53.21
454,On-Time,63.83
455,Slight Delay,49.61
456,On-Time,56.1
457,Slight Delay,77.63
458,Early,12.36
459,On-Time,48.41
460,On-Time,47.21
461,Slight Delay,41.32
462,Slight Delay,44.39
463,Slight Delay,57.52
464,Slight Delay,40.9
465,Early,9.18
466,On-Time,69.95
467,On-Time,28.08
468,Heavy Delay,38.62
469,On-Time,43.55
470,Heavy Delay,65.2
471,On-Time,23.33
472,Heavy Delay,76.84
473,Slight Delay,32.45
474,On-Time,58.73
475,Slight Delay,39.34
476,Heavy Delay,75.46
477,On-Time,68.15
478,Slight Delay,82.43
479,On-Time,62.46
480,Early,47.94
481,On-Time,56.63
482,On-Time,20.57
483,Slight Delay,58.01
484,Early,56.58
485,Heavy Delay,48.22
486,Early,26.94
487,Slight Delay,43.79
488,Slight Delay,44.32
489,Slight Delay,51.23
490,On-Time,21.83
491,On-Time,42.23
492,On-Time,50.39
493,On-Time,29.21
494,Early,23.16
495,On-Time,54.66
496,Slight Delay,61.37
497,On-Time,57.59
498,On-Time,27.9
499,Slight Delay,54.65
500,On-Time,62.46
501,Slight Delay,57.94
502,Early,50.58
503,Slight Delay,83.21
504,Early,63.72
505,Slight Delay,57.7
506,On-Time,28.61
507,Heavy Delay,72.4
508,Slight Delay,24.65
509,On-Time,43.37
510,Heavy Delay,50.44
511,Slight Delay,56.14
512,Slight Delay,73.79
513,Early,56.58
514,On-Time,67.01
515,On-Time,51.77
516,Slight Delay,51.83
517,Early,31.92
518,On-Time,58.01
519,Early,42.0
520,On-Time,29.88
521,Early,25.2
522,Slight Delay,87.17
523,Heavy Delay,90.04
524,Slight Delay,40.37
525,Slight Delay,61.07
526,On-Time,64.37
527,On-Time,25.08
528,On-Time,13.86
529,Early,26.76
530,On-Time,57.71
531,On-Time,63.17
532,Heavy Delay,82.48
533,Slight Delay,74.27
534,Early,30.18
535,Slight Delay,22.67
536,Slight Delay,76.3
537,Early,5.94
538,On-Time,10.68
539,On-Time,33.71
540,Slight Delay,59.39
541,Slight Delay,52.9
542,Slight Delay,35.69
543,Slight Delay,48.7
544,On-Time,22.5
545,Early,52.92
546,Heavy Delay,45.28
547,Slight Delay,57.89
548,Early,4.8
549,On-Time,48.11
550,Slight Delay,26.81
551,Early,38.52
552,On-Time,24.35
553,On-Time,51.53
554,Slight Delay,66.1
555,Early,49.98
556,Early,34.98
557,Slight Delay,80.63
558,Slight Delay,78.23
559,On-Time,61.37
560,Slight Delay,48.94
561,Heavy Delay,46.0
562,Slight Delay,76.67
563,Early,25.98
564,On-Time,46.79
565,Slight Delay,45.47
566,On-Time,20.33
567,On-Time,35.03
568,Heavy Delay,86.08
569,Slight Delay,73.3
570,Heavy Delay,93.82
571,Slight Delay,53.63
572,Heavy Delay,69.04
573,Slight Delay,74.03
574,Early,31.2
575,Early,38.52
576,Slight Delay,83.03
577,Early,11.58
578,Heavy Delay,53.62
579,On-Time,61.73
580,Slight Delay,77.03
581,Slight Delay,38.32
582,On-Time,65.46
583,Slight Delay,70.07
584,Early,6.18
585,Slight Delay,66.47
586,On-Time,56.46
587,On-Time,28.73
588,Slight Delay,53.87
589,On-Time,30.3
590,Heavy Delay,36.28
591,Heavy Delay,65.62
592,On-Time,15.59
593,On-Time,46.86
594,On-Time,41.75
595,On-Time,55.26
596,On-Time,45.48
597,Slight Delay,44.32
598,Slight Delay,50.32
599,Heavy Delay,58.6
600,Heavy Delay,54.88
601,Heavy Delay,86.8
602,Early,26.76
603,Early,21.78
604,On-Time,45.77
605,Early,4.14
606,Early,39.12
607,Slight Delay,58.49
608,Early,19.38
609,Heavy Delay,58.06
610,Slight Delay,58.72
611,Slight Delay,31.72
612,On-Time,51.95
613,Heavy Delay,82.84
614,Early,38.94
615,Heavy Delay,60.04
616,Early,59.52
617,Heavy Delay,89.86
618,On-Time,39.77
619,On-Time,61.31
620,Early,50.52
621,Early,15.12
622,Slight Delay,38.69
623,Slight Delay,66.7
624,On-Time,51.83
625,On-Time,54.11
626,Heavy Delay,53.8
627,Heavy Delay,75.46
628,Early,58.14
629,Slight Delay,44.27
630,Slight Delay,64.12
631,Heavy Delay,40.06
632,Early,33.6
633,Slight Delay,23.09
634,Slight Delay,81.34
635,Heavy Delay,73.24
636,Heavy Delay,67.42
637,Slight Delay,34.61
638,Slight Delay,70.07
639,Early,52.74
640,Slight Delay,81.94
641,On-Time,74.15
642,On-Time,10.26
643,Slight Delay,36.05
644,On-Time,49.55
645,On-Time,19.43
646,Early,52.92
647,Heavy Delay,55.0
648,On-Time,19.19
649,Heavy Delay,79.84
650,On-Time,57.53
651,Slight Delay,33.52
652,Slight Delay,27.65
653,Slight Delay,25.85
654,Slight Delay,27.41
655,Slight Delay,39.89
656,Early,27.54
657,Slight Delay,59.63
658,Early,47.52
659,Early,37.98
660,Slight Delay,32.27
661,Heavy Delay,72.04
662,Early,18.54
663,On-Time,9.3
664,Heavy Delay,55.0
665,Slight Delay,31.97
666,Slight Delay,33.05
667,On-Time,49.5
668,Slight Delay,71.21
669,Heavy Delay,69.88
670,On-Time,37.91
671,Early,18.0
672,Slight Delay,72.47
673,Early,40.38
674,Early,26.94
675,Slight Delay,46.72
676,Early,20.76
677,Heavy Delay,89.26
678,Slight Delay,38.99
679,Early,45.36
680,Slight Delay,80.32
681,On-Time,22.13
682,Slight Delay,29.81
683,Heavy Delay,65.86
684,On-Time,21.66
685,Heavy Delay,84.22
686,On-Time,25.86
687,On-Time,58.43
688,Slight Delay,54.65
689,Heavy Delay,53.86
690,Heavy Delay,75.28
691,On-Time,35.88
692,On-Time,16.01
693,Heavy Delay,42.4
694,Heavy Delay,87.4
695,Early,7.8
696,Heavy Delay,41.02
697,Early,7.74
698,Slight Delay,59.21
699,Early,44.94
700,Slight Delay,65.74
701,Heavy Delay,67.42
702,On-Time,65.93
703,Early,20.52
704,Early,44.52
705,Slight Delay,56.03
706,Heavy Delay,45.28
707,Slight Delay,52.79
708,Early,64.92
709,Slight Delay,68.32
710,On-Time,24.59
711,Early,37.98
712,On-Time,62.51
713,On-Time,76.13
714,On-Time,61.73
715,On-Time,39.66
716,Slight Delay,58.61
717,Slight Delay,48.7
718,On-Time,22.86
719,Early,46.32
720,Early,27.12
721,Slight Delay,62.5
722,Heavy Delay,53.02
723,On-Time,22.13
724,Early,18.72
725,Heavy Delay,88.42
726,On-Time,41.03
727,Slight Delay,34.97
728,Heavy Delay,58.66
729,On-Time,17.99
730,Slight Delay,45.47
731,Heavy Delay,38.26
732,On-Time,55.37
733,On-Time,21.77
734,Slight Delay,45.52
735,Slight Delay,54.29
736,Heavy Delay,48.4
737,Early,1.8
738,Slight Delay,82.85
739,On-Time,41.1
740,Early,48.12
741,Slight Delay,34.85
742,On-Time,34.55
743,On-Time,65.7
744,On-Time,38.88
745,Early,47.76
746,On-Time,62.99
747,On-Time,48.06
748,Early,50.34
749,On-Time,55.01
750,On-Time,30.83
751,Slight Delay,51.94
752,On-Time,50.75
753,Slight Delay,26.03
754,Heavy Delay,68.2
755,On-Time,28.31
756,Early,52.32
757,Slight Delay,54.1
758,On-Time,18.35
759,On-Time,15.17
760,On-Time,48.83
761,Slight Delay,86.92
762,On-Time,22.86
763,On-Time,30.23
764,Slight Delay,27.59
765,On-Time,48.35
766,Heavy Delay,43.66
767,Heavy Delay,80.62
768,On-Time,36.23
769,On-Time,37.5
770,Heavy Delay,67.42
771,Heavy Delay,96.4
772,On-Time,54.9
773,On-Time,73.79
774,On-Time,50.21
775,On-Time,28.13
776,Heavy Delay,54.64
777,On-Time,39.9
778,On-Time,9.48
779,On-Time,63.83
780,Early,29.16
781,On-Time,36.17
782,Slight Delay,80.69
783,On-Time,74.15
784,On-Time,53.1
785,On-Time,27.95
786,Heavy Delay,75.28
787,Early,31.32
788,Early,33.54
789,On-Time,15.06
790,Early,45.96
791,Early,49.98
792,Slight Delay,34.01
793,Slight Delay,38.03
794,On-Time,17.88
795,On-Time,48.77
796,Heavy Delay,90.82
797,Early,51.54
798,On-Time,21.41
799,Heavy Delay,69.64
800,On-Time,27.23
801,Heavy Delay,93.22
802,On-Time,43.97
803,On-Time,64.79
804,Slight Delay,77.99
805,Heavy Delay,74.2
806,Slight Delay,41.03
807,Early,39.78
808,On-Time,45.3
809,Heavy Delay,92.8
810,On-Time,25.5
811,Early,57.6
812,On-Time,23.28
813,On-Time,61.97
814,Slight Delay,60.59
815,Slight Delay,75.94
816,On-Time,62.57
817,Slight Delay,82.61
818,Slight Delay,82.19
819,Slight Delay,64.54
820,On-Time,26.7
821,On-Time,32.93
822,Slight Delay,74.87
823,Slight Delay,62.87
824,Slight Delay,46.25
825,On-Time,29.75
826,On-Time,30.95
827,Heavy Delay,53.86
828,On-Time,68.39
829,Early,21.36
830,Slight Delay,74.87
831,Heavy Delay,62.08
832,Early,49.38
833,Heavy Delay,64.6
834,Heavy Delay,45.64
835,Early,2.58
836,On-Time,33.48
837,Heavy Delay,59.86
838,Heavy Delay,71.62
839,Heavy Delay,51.04
840,Slight Delay,73.97
841,Slight Delay,46.3
842,On-Time,52.61
843,On-Time,62.33
844,Slight Delay,44.99
845,Slight Delay,54.23
846,Slight Delay,53.27
847,Slight Delay,47.09
848,Slight Delay,22.07
849,Slight Delay,80.45
850,Heavy Delay,85.42
851,Heavy Delay,35.86
852,On-Time,35.39
853,Slight Delay,55.43
854,On-Time,70.19
855,On-Time,30.41
856,Heavy Delay,91.6
857,On-Time,29.33
858,On-Time,77.33
859,On-Time,35.21
860,Slight Delay,85.19
861,Slight Delay,44.74
862,Early,56.34
863,On-Time,46.01
864,Heavy Delay,50.26
865,On-Time,11.7
866,Slight Delay,43.97
867,Heavy Delay,73.42
868,On-Time,65.99
869,Slight Delay,60.65
870,On-Time,24.9
871,Slight Delay,29.99
872,On-Time,54.71
873,Heavy Delay,92.86
874,On-Time,57.9
875,Slight Delay,74.81
876,Early,22.2
877,On-Time,41.63
878,On-Time,74.33
879,Early,6.36
880,Heavy Delay,80.2
881,Early,52.8
882,On-Time,75.53
883,On-Time,68.93
884,Early,48.54
885,On-Time,68.33
886,Slight Delay,72.94
887,Early,58.74
888,On-Time,19.79
889,Slight Delay,59.21
890,On-Time,30.23
891,On-Time,38.99
892,On-Time,30.11
893,On-Time,53.7
894,Slight Delay,33.7
895,On-Time,25.97
896,Heavy Delay,40.84
897,On-Time,42.95
898,Slight Delay,40.85
899,Slight Delay,31.54
900,Slight Delay,62.14
901,On-Time,65.33
902,Slight Delay,85.72
903,Heavy Delay,87.88
904,On-Time,28.19
905,Slight Delay,43.3
906,Slight Delay,34.72
907,Early,16.38
908,Slight Delay,27.83
909,Heavy Delay,58.24
910,Early,46.98
911,Slight Delay,46.07
912,Heavy Delay,59.02
913,Slight Delay,84.34
914,On-Time,23.46
915,Early,60.72
916,Heavy Delay,51.88
917,Heavy Delay,87.82
918,On-Time,32.99
919,Heavy Delay,80.8
920,Slight Delay,46.9
921,Slight Delay,47.81
922,Early,0.6
923,Slight Delay,76.61
924,Slight Delay,25.49
925,Early,52.92
926,Heavy Delay,88.06
927,Heavy Delay,81.04
928,Slight Delay,80.69
929,Slight Delay,39.52
930,Early,56.52
931,Heavy Delay,81.04
932,On-Time,61.01
933,On-Time,50.03
934,Slight Delay,39.17
935,Heavy Delay,61.0
936,Slight Delay,77.32
937,Slight Delay,39.83
938,Heavy Delay,72.22
939,Early,47.76
940,On-Time,29.03
941,Slight Delay,84.17
942,Slight Delay,82.01
943,On-Time,50.46
944,Early,35.34
945,On-Time,55.19
946,Early,50.94
947,On-Time,36.17
948,Slight Delay,57.94
949,On-Time,62.28
950,Heavy Delay,49.24
951,On-Time,54.66
952,On-Time,46.61
953,Slight Delay,72.94
954,Heavy Delay,77.02
955,Slight Delay,78.52
956,On-Time,18.95
957,Slight Delay,45.52
958,On-Time,29.93
959,Slight Delay,23.09
960,On-Time,20.28
961,Slight Delay,80.69
962,Slight Delay,66.47
963,Slight Delay,28.01
964,Slight Delay,57.23
965,On-Time,66.17
966,On-Time,44.63
967,Heavy Delay,70.84
968,Heavy Delay,39.28
969,On-Time,46.86
970,On-Time,69.23
971,Early,22.32
972,Slight Delay,44.99
973,On-Time,40.61
974,Early,55.92
975,On-Time,33.53
976,Slight Delay,46.25
977,Heavy Delay,54.82
978,On-Time,17.88
979,On-Time,61.86
980,Early,8.52
981,Slight Delay,49.12
982,On-Time,12.9
983,Slight Delay,71.21
984,Slight Delay,57.34
985,Slight Delay,66.52
986,On-Time,24.23
987,Slight Delay,66.59
988,On-Time,26.03
989,On-Time,64.26
990,Slight Delay,46.07
991,Slight Delay,76.72
992,On-Time,22.26
993,Heavy Delay,88.42
994,Slight Delay,46.54
995,Early,42.6
996,Slight Delay,55.97
997,Slight Delay,40.85
998,On-Time,20.51
999,Slight Delay,39.17
1000,Heavy Delay,62.86
1001,Slight Delay,54.29
1002,Early,14.58
1003,On-Time,45.95
1004,Early,25.98
1005,On-Time,53.93
1006,On-Time,26.28
1007,On-Time,71.99
1008,On-Time,22.91
1009,Heavy Delay,60.88
1010,Slight Delay,80.87
1011,Slight Delay,36.59
1012,Slight Delay,73.07
1013,On-Time,70.31
1014,Slight Delay,36.29
1015,On-Time,17.03
1016,Slight Delay,58.19
1017,Slight Delay,79.19
1018,Slight Delay,49.61
1019,Slight Delay,60.83
1020,Slight Delay,77.32
1021,Slight Delay,82.54
1022,On-Time,60.83
1023,On-Time,63.9
1024,Early,57.6
1025,Early,19.92
1026,Early,51.72
1027,Slight Delay,37.54
1028,Heavy Delay,44.08
1029,Early,58.8
1030,Early,54.0
1031,Heavy Delay,59.02
1032,Slight Delay,81.77
1033,On-Time,39.9
1034,On-Time,59.63
1035,Slight Delay,59.03
1036,Heavy Delay,72.04
1037,Early,30.12
1038,Slight Delay,76.19
1039,Slight Delay,53.87
1040,Slight Delay,79.37
1041,Slight Delay,73.01
1042,On-Time,37.37
1043,On-Time,66.3
1044,Heavy Delay,62.62
1045,On-Time,42.95
1046,Slight Delay,49.12
1047,On-Time,61.86
1048,Heavy Delay,57.82
1049,Early,56.76
1050,Slight Delay,87.1
1051,On-Time,52.79
1052,Heavy Delay,95.02
1053,Slight Delay,81.41
1054,Early,6.6
1055,Slight Delay,83.5
1056,On-Time,71.33
1057,Heavy Delay,96.22
1058,Slight Delay,29.99
1059,Heavy Delay,88.42
1060,Slight Delay,64.72
1061,On-Time,41.75
1062,On-Time,28.91
1063,Slight Delay,77.14
1064,Slight Delay,76.79
1065,On-Time,31.86
1066,On-Time,66.11
1067,On-Time,65.15
1068,Early,10.8
1069,On-Time,38.39
1070,Slight Delay,70.01
1071,On-Time,32.51
1072,Slight Delay,49.79
1073,Early,28.14
1074,On-Time,45.9
1075,Slight Delay,56.5
1076,On-Time,51.17
1077,Early,12.0
1078,On-Time,20.21
1079,Heavy Delay,36.46
1080,Slight Delay,48.05
1081,Early,31.8
1082,On-Time,55.08
1083,Heavy Delay,94.0
1084,Early,19.98
1085,Slight Delay,90.7
1086,On-Time,46.26
1087,Heavy Delay,59.68
1088,Early,46.2
1089,Slight Delay,68.03
1090,On-Time,59.7
1091,On-Time,51.59
1092,Slight Delay,46.43
1093,Slight Delay,43.9
1094,Heavy Delay,85.84
1095,On-Time,16.01
1096,Slight Delay,36.29
1097,Slight Delay,30.89
1098,On-Time,44.81
1099,Slight Delay,50.45
1100,Slight Delay,79.37
1101,Slight Delay,58.85
1102,Early,4.56
1103,On-Time,25.37
1104,On-Time,49.61
1105,Heavy Delay,45.64
1106,Slight Delay,30.89
1107,Slight Delay,34.9
1108,On-Time,42.83
1109,Heavy Delay,76.0
1110,Slight Delay,82.25
1111,On-Time,72.95
1112,Slight Delay,41.32
1113,On-Time,19.73
1114,Slight Delay,63.83
1115,On-Time,44.93
1116,Early,49.38
1117,On-Time,28.79
1118,Heavy Delay,64.48
1119,On-Time,69.06
1120,Early,32.76
1121,On-Time,73.31
1122,On-Time,64.55
1123,On-Time,61.26
1124,On-Time,36.35
1125,Slight Delay,37.49
1126,Slight Delay,50.57
1127,Early,27.6
1128,Heavy Delay,63.4
1129,Early,8.58
1130,On-Time,71.15
1131,Heavy Delay,39.82
1132,On-Time,64.73
1133,Early,51.78
1134,Slight Delay,78.29
1135,On-Time,26.33
1136,On-Time,35.28
1137,Slight Delay,76.37
1138,On-Time,61.73
1139,Slight Delay,64.25
1140,Slight Delay,65.87
1141,Early,29.52
1142,On-Time,22.79
1143,Slight Delay,46.25
1144,Slight Delay,70.49
1145,Heavy Delay,85.48
1146,On-Time,26.21
1147,On-Time,50.7
1148,On-Time,53.33
1149,Early,7.38
1150,Heavy Delay,92.62
1151,Heavy Delay,63.46
1152,On-Time,35.63
1153,Heavy Delay,87.64
1154,On-Time,68.15
1155,Slight Delay,29.99
1156,Slight Delay,53.14
1157,Slight Delay,76.61
1158,On-Time,49.37
1159,Early,11.58
1160,Early,42.96
1161,On-Time,21.35
1162,Slight Delay,74.39
1163,Early,52.8
1164,Heavy Delay,41.44
1165,Slight Delay,49.61
