Request_ID,Created_At,Category,Status,Neighborhood_ID,Neighborhood_Name,Ward_Number,Latitude,Longitude,Sentiment_Score,Delay_Minutes,Transit_Route_ID,Complaint_Text,Source,Sentiment_Label,Delay_Severity,NeedScore,Month,Quarter,Day_of_Week,Resolution_Time_Hours
14,12-04-2025 09:00,Noise,Open,2,Indiranagar,17,12.90460046,77.67984522,0.04,7,118,Broken footpath,Call Center,neutral,On-Time,18.95,4,Q2,Saturday,0.116666667
15,10-08-2025 07:00,Noise,Open,3,Indiranagar,173,12.86451501,77.47377666,0.47,21,121,Illegal parking,Email,positive,Heavy Delay,64.06,8,Q3,Sunday,0.35
16,30-07-2025 11:00,Garbage,In Progress,9,Malleshwaram,133,13.08128205,77.73656168,0.83,-5,110,Illegal parking,Call Center,positive,Early,49.8,7,Q3,Wednesday,-0.083333333
17,25-09-2025 12:00,Graffiti,Resolved,16,Malleshwaram,131,13.09541707,77.63226454,-0.16,13,102,Streetlight not working,Twitter,neutral,Slight Delay,34.43,9,Q3,Thursday,0.216666667
18,19-02-2025 08:00,Water Leak,In Progress,13,Whitefield,9,12.99183605,77.71960829,-0.95,19,118,Broken footpath,Mobile App,negative,Slight Delay,90.1,2,Q1,Wednesday,0.316666667
19,09-07-2025 19:00,Garbage,Resolved,19,Koramangala,122,13.07210048,77.65188893,-0.77,0,190,Broken footpath,Twitter,negative,On-Time,53.1,7,Q3,Wednesday,0.0
20,22-05-2025 01:00,Noise,In Progress,18,Whitefield,114,12.90795401,77.61104309,0.94,-5,106,Noise from bar at night,Call Center,positive,Early,56.4,5,Q2,Thursday,-0.083333333
21,24-09-2025 12:00,Graffiti,Resolved,12,HSR Layout,20,12.87775968,77.50174871,0.75,19,190,Water leakage on road,Call Center,positive,Slight Delay,78.1,9,Q3,Wednesday,0.316666667
22,28-12-2025 02:00,Streetlight,Open,12,Yelahanka,83,12.97495423,77.50338624,-0.03,17,133,Illegal parking,Call Center,neutral,Slight Delay,32.14,12,Q4,Sunday,0.283333333
23,17-04-2025 14:00,Pothole,Open,1,Yelahanka,21,13.05279585,77.59177109,0.92,11,110,Water leakage on road,Call Center,positive,Slight Delay,77.27,4,Q2,Thursday,0.183333333
24,24-11-2025 01:00,Noise,Open,20,Indiranagar,33,13.01366341,77.71113266,-0.63,11,104,Water leakage on road,Mobile App,negative,Slight Delay,59.87,11,Q4,Monday,0.183333333
25,27-03-2025 07:00,Streetlight,In Progress,8,Marathahalli,133,13.00933004,77.4845656,-0.78,15,170,Pothole near school,Mobile App,negative,Slight Delay,74.39,3,Q1,Thursday,0.25
26,25-04-2025 11:00,Water Leak,In Progress,17,Yelahanka,152,12.85436473,77.74951554,0.2,5,135,Pothole near school,Email,neutral,On-Time,25.79,4,Q2,Friday,0.083333333
27,08-01-2025 21:00,Noise,In Progress,20,Marathahalli,191,12.92937322,77.71277368,-0.24,14,104,Pothole near school,Mobile App,negative,Slight Delay,40.61,1,Q1,Wednesday,0.233333333
28,24-04-2025 22:00,Streetlight,Open,7,Marathahalli,26,13.08487395,77.56776763,-0.32,6,155,Overflowing garbage,Call Center,negative,On-Time,34.37,4,Q2,Thursday,0.1
29,06-05-2025 05:00,Noise,Resolved,9,HSR Layout,108,12.88356838,77.5259355,0.47,18,104,Noise from bar at night,Email,positive,Slight Delay,59.92,5,Q2,Tuesday,0.3
30,14-07-2025 02:00,Garbage,Open,17,Koramangala,89,13.03159149,77.72659883,-0.7,7,126,Illegal parking,Call Center,negative,On-Time,58.55,7,Q3,Monday,0.116666667
31,21-03-2025 03:00,Graffiti,Open,10,Indiranagar,92,13.03982779,77.48696349,0.56,12,192,Streetlight not working,Email,positive,Slight Delay,57.05,3,Q1,Friday,0.2
32,19-11-2025 06:00,Streetlight,Resolved,4,Yelahanka,33,13.03320831,77.55418698,-0.28,16,126,Water leakage on road,Mobile App,negative,Slight Delay,45.77,11,Q4,Wednesday,0.266666667
33,22-02-2025 19:00,Graffiti,Resolved,7,Basavanagudi,18,13.09732122,77.4751737,0.97,18,131,Streetlight not working,Mobile App,positive,Slight Delay,89.92,2,Q1,Saturday,0.3
34,05-03-2025 16:00,Garbage,Resolved,7,Koramangala,18,12.95230205,77.73603868,0.62,-5,188,Broken footpath,Mobile App,positive,Early,37.2,3,Q1,Wednesday,-0.083333333
35,29-05-2025 04:00,Garbage,Resolved,8,Malleshwaram,166,13.02054835,77.63528688,0.29,-3,197,Water leakage on road,Email,positive,Early,20.16,5,Q2,Thursday,-0.05
36,12-06-2025 02:00,Graffiti,Open,8,Basavanagudi,33,12.89841378,77.55085389,-0.54,11,114,Garbage not collected,Twitter,negative,Slight Delay,54.47,6,Q2,Thursday,0.183333333
37,13-08-2025 17:00,Streetlight,In Progress,16,HSR Layout,27,12.94992748,77.53264495,0.91,1,197,Pothole near school,Call Center,positive,On-Time,62.88,8,Q3,Wednesday,0.016666667
38,18-12-2025 09:00,Graffiti,Open,12,Koramangala,49,12.97289015,77.58322829,-0.93,11,198,Overflowing garbage,Mobile App,negative,Slight Delay,77.87,12,Q4,Thursday,0.183333333
39,10-11-2025 01:00,Graffiti,Resolved,15,HSR Layout,178,12.90370689,77.47741354,-0.55,10,153,Pothole near school,Mobile App,negative,Slight Delay,53.69,11,Q4,Monday,0.166666667
40,19-04-2025 20:00,Pothole,In Progress,8,Koramangala,143,13.07670269,77.71680468,-0.93,6,119,Noise from bar at night,Call Center,negative,On-Time,70.97,4,Q2,Saturday,0.1
41,21-10-2025 09:00,Streetlight,In Progress,9,Marathahalli,108,13.02904946,77.60328211,0.93,19,187,Streetlight not working,Twitter,positive,Slight Delay,88.9,10,Q4,Tuesday,0.316666667
42,17-09-2025 19:00,Pothole,Open,3,Indiranagar,180,12.92093944,77.66752944,0.74,2,133,Broken footpath,Call Center,positive,On-Time,54.06,9,Q3,Wednesday,0.033333333
43,17-08-2025 14:00,Noise,Open,16,Yelahanka,68,12.88373911,77.52012375,0.9,5,133,Water leakage on road,Mobile App,positive,On-Time,67.79,8,Q3,Sunday,0.083333333
44,23-10-2025 19:00,Graffiti,Open,15,BTM Layout,99,12.92196683,77.60112478,0.43,-3,145,Garbage not collected,Mobile App,positive,Early,28.56,10,Q4,Thursday,-0.05
45,02-02-2025 07:00,Noise,In Progress,4,Jayanagar,19,13.00574635,77.51332584,-0.95,22,190,Water leakage on road,Twitter,negative,Heavy Delay,94.24,2,Q1,Sunday,0.366666667
46,09-12-2025 18:00,Streetlight,In Progress,20,Indiranagar,25,13.05660216,77.69482838,0.86,23,120,Broken footpath,Email,positive,Heavy Delay,90.22,12,Q4,Tuesday,0.383333333
47,12-05-2025 08:00,Graffiti,In Progress,16,Marathahalli,104,12.97579206,77.6825825,-0.16,6,196,Illegal parking,Twitter,neutral,On-Time,24.77,5,Q2,Monday,0.1
48,08-03-2025 01:00,Noise,Resolved,10,Marathahalli,76,12.87562367,77.4944607,-0.26,-2,138,Garbage not collected,Call Center,negative,Early,19.74,3,Q1,Saturday,-0.033333333
49,14-06-2025 07:00,Water Leak,Resolved,11,BTM Layout,76,12.91232872,77.47235207,-0.43,3,139,Graffiti on wall,Mobile App,negative,On-Time,36.83,6,Q2,Saturday,0.05
50,11-11-2025 19:00,Garbage,Open,5,Marathahalli,106,12.93628598,77.69725902,-0.43,20,143,Water leakage on road,Twitter,negative,Heavy Delay,60.28,11,Q4,Tuesday,0.333333333
51,09-05-2025 01:00,Graffiti,In Progress,11,Basavanagudi,153,13.00903406,77.48289437,0.6,16,135,Broken footpath,Mobile App,positive,Slight Delay,64.97,5,Q2,Friday,0.266666667
52,12-02-2025 13:00,Garbage,Open,13,Marathahalli,33,12.91166084,77.61454519,-0.49,15,154,Garbage not collected,Email,negative,Slight Delay,56.99,2,Q1,Wednesday,0.25
53,10-06-2025 03:00,Pothole,In Progress,15,Malleshwaram,188,12.9084821,77.61034619,-0.56,23,188,Noise from bar at night,Twitter,negative,Heavy Delay,72.22,6,Q2,Tuesday,0.383333333
54,29-11-2025 21:00,Noise,Open,6,Yelahanka,37,12.92155047,77.51088322,0.4,15,170,Garbage not collected,Twitter,positive,Slight Delay,51.59,11,Q4,Saturday,0.25
55,14-10-2025 09:00,Pothole,Resolved,16,Indiranagar,92,12.99813226,77.62740694,-0.43,11,149,Water leakage on road,Mobile App,negative,Slight Delay,47.87,10,Q4,Tuesday,0.183333333
56,25-08-2025 11:00,Graffiti,In Progress,15,Jayanagar,124,12.97315757,77.60082656,-0.97,10,157,Streetlight not working,Email,negative,Slight Delay,78.89,8,Q3,Monday,0.166666667
57,07-01-2025 17:00,Garbage,Resolved,11,Basavanagudi,43,13.06040899,77.60275677,0.86,6,173,Illegal parking,Mobile App,positive,On-Time,66.77,1,Q1,Tuesday,0.1
58,29-06-2025 01:00,Garbage,In Progress,20,Basavanagudi,126,13.02448308,77.55790999,-0.37,24,173,Streetlight not working,Call Center,negative,Heavy Delay,62.2,6,Q2,Sunday,0.4
59,11-02-2025 11:00,Noise,Open,2,Jayanagar,9,13.01670547,77.70152857,0.53,9,137,Water leakage on road,Call Center,positive,On-Time,51.11,2,Q1,Tuesday,0.15
60,14-11-2025 21:00,Graffiti,In Progress,2,Marathahalli,14,12.88866252,77.47531117,-0.06,9,123,Pothole near school,Email,neutral,On-Time,22.91,11,Q4,Friday,0.15
61,12-02-2025 08:00,Water Leak,Resolved,12,Koramangala,131,12.86380695,77.58158691,-0.73,-5,173,Garbage not collected,Call Center,negative,Early,43.8,2,Q1,Wednesday,-0.083333333
62,24-11-2025 21:00,Water Leak,In Progress,16,Basavanagudi,69,12.97749972,77.52794491,0.32,-3,158,Garbage not collected,Mobile App,positive,Early,21.96,11,Q4,Monday,-0.05
63,26-09-2025 07:00,Noise,Open,19,Basavanagudi,184,12.86791042,77.70452998,-0.54,-4,144,Streetlight not working,Twitter,negative,Early,33.78,9,Q3,Friday,-0.066666667
64,25-11-2025 20:00,Graffiti,In Progress,2,Indiranagar,26,12.94100448,77.51752415,-0.42,20,125,Broken footpath,Call Center,negative,Heavy Delay,59.68,11,Q4,Tuesday,0.333333333
65,13-10-2025 23:00,Noise,Resolved,17,BTM Layout,127,12.85652809,77.68010745,-0.94,24,193,Streetlight not working,Email,negative,Heavy Delay,96.4,10,Q4,Monday,0.4
66,26-11-2025 20:00,Graffiti,Open,14,Malleshwaram,53,12.89420224,77.6334546,-0.97,11,190,Garbage not collected,Email,negative,Slight Delay,80.27,11,Q4,Wednesday,0.183333333
67,22-12-2025 09:00,Pothole,Resolved,16,Jayanagar,41,12.87759197,77.71243708,0.03,6,182,Graffiti on wall,Mobile App,neutral,On-Time,16.97,12,Q4,Monday,0.1
68,06-02-2025 14:00,Noise,In Progress,5,Marathahalli,82,13.05024625,77.62813818,-0.88,-1,164,Garbage not collected,Call Center,negative,Early,58.32,2,Q1,Thursday,-0.016666667
69,23-07-2025 15:00,Graffiti,Resolved,10,HSR Layout,102,12.93653154,77.61694531,-0.58,24,196,Illegal parking,Call Center,negative,Heavy Delay,74.8,7,Q3,Wednesday,0.4
70,22-07-2025 11:00,Water Leak,In Progress,17,HSR Layout,21,12.86971163,77.69033898,0.85,24,110,Graffiti on wall,Call Center,positive,Heavy Delay,91.0,7,Q3,Tuesday,0.4
71,21-09-2025 19:00,Graffiti,Open,13,Koramangala,121,12.91637005,77.61874594,-0.83,5,149,Graffiti on wall,Email,negative,On-Time,63.59,9,Q3,Sunday,0.083333333
72,24-12-2025 03:00,Graffiti,Resolved,16,Basavanagudi,39,13.02070202,77.70336262,-0.42,13,157,Garbage not collected,Email,negative,Slight Delay,50.03,12,Q4,Wednesday,0.216666667
73,28-12-2025 20:00,Noise,Resolved,9,Basavanagudi,151,13.03640882,77.46479541,0.45,9,133,Overflowing garbage,Email,positive,On-Time,46.31,12,Q4,Sunday,0.15
74,28-10-2025 08:00,Pothole,In Progress,4,BTM Layout,186,12.87996628,77.59854496,0.77,24,115,Pothole near school,Twitter,positive,Heavy Delay,86.2,10,Q4,Tuesday,0.4
75,08-08-2025 20:00,Pothole,Resolved,16,Basavanagudi,69,13.04464161,77.69380745,-0.91,1,158,Garbage not collected,Mobile App,negative,On-Time,62.88,8,Q3,Friday,0.016666667
76,27-03-2025 22:00,Pothole,Resolved,11,HSR Layout,75,12.94263979,77.70450954,-0.63,2,100,Illegal parking,Twitter,negative,On-Time,47.46,3,Q1,Thursday,0.033333333
77,03-01-2025 16:00,Pothole,Open,7,Jayanagar,157,13.01984567,77.70021661,-0.22,4,140,Broken footpath,Email,negative,On-Time,25.61,1,Q1,Friday,0.066666667
78,30-11-2025 14:00,Streetlight,In Progress,17,Koramangala,62,13.01787695,77.6313144,-0.28,0,127,Water leakage on road,Call Center,negative,On-Time,23.7,11,Q4,Sunday,0.0
79,18-04-2025 00:00,Noise,In Progress,13,BTM Layout,181,13.04839818,77.7481914,-0.42,22,114,Pothole near school,Call Center,negative,Heavy Delay,62.44,4,Q2,Friday,0.366666667
80,16-08-2025 15:00,Garbage,Open,4,Malleshwaram,45,13.0242957,77.50441589,-0.52,15,179,Streetlight not working,Twitter,negative,Slight Delay,58.79,8,Q3,Saturday,0.25
81,26-03-2025 11:00,Noise,Open,14,HSR Layout,27,12.85971709,77.50233727,-0.46,9,145,Streetlight not working,Email,negative,On-Time,46.91,3,Q1,Wednesday,0.15
82,23-04-2025 07:00,Streetlight,In Progress,10,Whitefield,116,12.97987028,77.4598468,-0.73,4,131,Pothole near school,Email,negative,On-Time,56.21,4,Q2,Wednesday,0.066666667
83,08-08-2025 02:00,Pothole,Open,10,Indiranagar,162,12.89154529,77.74680115,-0.67,22,138,Garbage not collected,Email,negative,Heavy Delay,77.44,8,Q3,Friday,0.366666667
84,23-08-2025 02:00,Streetlight,Open,10,BTM Layout,142,13.09249113,77.55440615,0.21,15,164,Overflowing garbage,Call Center,positive,Slight Delay,40.19,8,Q3,Saturday,0.25
85,08-10-2025 16:00,Water Leak,Open,12,BTM Layout,41,12.91395863,77.67861625,-0.42,11,172,Streetlight not working,Call Center,negative,Slight Delay,47.27,10,Q4,Wednesday,0.183333333
86,17-01-2025 07:00,Water Leak,In Progress,2,HSR Layout,106,12.95502684,77.46791309,-0.2,22,192,Graffiti on wall,Email,negative,Heavy Delay,49.24,1,Q1,Friday,0.366666667
87,03-09-2025 12:00,Noise,Open,9,Koramangala,74,12.89917554,77.53960643,-0.18,16,188,Graffiti on wall,Twitter,neutral,Slight Delay,39.77,9,Q3,Wednesday,0.266666667
88,29-05-2025 09:00,Noise,Resolved,5,Indiranagar,60,12.88364728,77.6371542,-0.78,0,174,Water leakage on road,Mobile App,negative,On-Time,53.7,5,Q2,Thursday,0.0
89,15-09-2025 16:00,Garbage,Resolved,8,Jayanagar,42,13.0002324,77.60743403,0.64,13,110,Water leakage on road,Call Center,positive,Slight Delay,63.23,9,Q3,Monday,0.216666667
90,10-05-2025 03:00,Garbage,In Progress,14,Jayanagar,122,12.97329491,77.51232447,0.91,14,169,Garbage not collected,Call Center,positive,Slight Delay,80.81,5,Q2,Saturday,0.233333333
91,19-09-2025 14:00,Water Leak,Open,7,Basavanagudi,179,12.94366493,77.58847787,-0.47,14,133,Graffiti on wall,Mobile App,negative,Slight Delay,54.41,9,Q3,Friday,0.233333333
92,16-12-2025 16:00,Pothole,Resolved,7,Whitefield,11,12.87135476,77.4826346,-0.41,0,149,Broken footpath,Email,negative,On-Time,31.5,12,Q4,Tuesday,0.0
93,10-05-2025 08:00,Streetlight,In Progress,9,Yelahanka,163,13.03398984,77.61281104,0.39,8,143,Water leakage on road,Twitter,positive,On-Time,41.33,5,Q2,Saturday,0.133333333
94,28-10-2025 15:00,Garbage,Resolved,3,HSR Layout,147,12.85146407,77.47908243,-0.84,18,113,Garbage not collected,Twitter,negative,Slight Delay,82.12,10,Q4,Tuesday,0.3
95,13-04-2025 06:00,Graffiti,Open,14,Koramangala,118,12.9644154,77.64078064,0.81,22,171,Water leakage on road,Email,positive,Heavy Delay,85.84,4,Q2,Sunday,0.366666667
96,24-04-2025 19:00,Garbage,In Progress,17,Indiranagar,65,13.008143,77.49660727,-0.76,7,124,Streetlight not working,Call Center,negative,On-Time,62.15,4,Q2,Thursday,0.116666667
97,06-12-2025 18:00,Pothole,Resolved,18,Koramangala,189,12.95767771,77.61412577,0.46,7,167,Water leakage on road,Email,positive,On-Time,44.15,12,Q4,Saturday,0.116666667
98,30-07-2025 16:00,Pothole,In Progress,12,Yelahanka,47,12.88155225,77.4887362,-0.42,3,149,Broken footpath,Call Center,negative,On-Time,36.23,7,Q3,Wednesday,0.05
99,04-12-2025 22:00,Noise,Resolved,14,Jayanagar,14,13.04456247,77.57021313,-0.35,3,194,Pothole near school,Twitter,negative,On-Time,32.03,12,Q4,Thursday,0.05
100,10-06-2025 00:00,Streetlight,Resolved,13,Koramangala,67,12.93098599,77.55554946,-0.72,15,184,Noise from bar at night,Call Center,negative,Slight Delay,70.79,6,Q2,Tuesday,0.25
101,12-02-2025 20:00,Pothole,Open,14,Jayanagar,180,12.88368889,77.67692321,0.29,18,131,Streetlight not working,Twitter,positive,Slight Delay,49.12,2,Q1,Wednesday,0.3
102,04-11-2025 17:00,Garbage,Open,9,Jayanagar,109,12.98756645,77.64234849,0.59,23,154,Illegal parking,Twitter,positive,Heavy Delay,74.02,11,Q4,Tuesday,0.383333333
103,21-01-2025 22:00,Garbage,Resolved,19,Whitefield,160,12.85479289,77.73112665,0.9,2,177,Pothole near school,Twitter,positive,On-Time,63.66,1,Q1,Tuesday,0.033333333
104,15-10-2025 22:00,Water Leak,In Progress,2,Jayanagar,10,12.93101592,77.7265732,-0.34,4,191,Garbage not collected,Call Center,negative,On-Time,32.81,10,Q4,Wednesday,0.066666667
105,17-10-2025 02:00,Pothole,In Progress,11,Marathahalli,124,13.03766059,77.66749881,0.24,14,124,Overflowing garbage,Email,positive,Slight Delay,40.61,10,Q4,Friday,0.233333333
106,07-07-2025 00:00,Graffiti,Open,17,Jayanagar,17,13.07817783,77.68117572,-0.17,-2,191,Noise from bar at night,Twitter,neutral,Early,14.34,7,Q3,Monday,-0.033333333
107,09-01-2025 14:00,Noise,Resolved,2,Indiranagar,168,12.99793186,77.63747372,0.12,-3,178,Illegal parking,Email,neutral,Early,9.96,1,Q1,Thursday,-0.05
108,02-08-2025 22:00,Streetlight,Open,19,Indiranagar,196,12.9044029,77.65749897,-0.67,7,151,Pothole near school,Mobile App,negative,On-Time,56.75,8,Q3,Saturday,0.116666667
109,07-09-2025 01:00,Graffiti,Resolved,7,Indiranagar,191,12.90500004,77.63516671,0.16,15,155,Garbage not collected,Mobile App,neutral,Slight Delay,37.19,9,Q3,Sunday,0.25
110,18-11-2025 17:00,Noise,Resolved,18,BTM Layout,143,13.00096792,77.54352951,0.7,2,121,Overflowing garbage,Twitter,positive,On-Time,51.66,11,Q4,Tuesday,0.033333333
111,21-10-2025 03:00,Garbage,Open,13,HSR Layout,97,12.95169043,77.55520687,0.73,18,146,Broken footpath,Mobile App,positive,Slight Delay,75.52,10,Q4,Tuesday,0.3
112,03-03-2025 20:00,Graffiti,In Progress,5,HSR Layout,167,12.89431607,77.62242015,-0.03,3,169,Streetlight not working,Twitter,neutral,On-Time,12.83,3,Q1,Monday,0.05
113,24-11-2025 10:00,Noise,Open,18,HSR Layout,57,13.04684926,77.66605308,-0.53,8,150,Streetlight not working,Call Center,negative,On-Time,49.73,11,Q4,Monday,0.133333333
114,05-02-2025 23:00,Garbage,Resolved,16,Marathahalli,138,12.90006076,77.57183571,0.67,-5,165,Illegal parking,Call Center,positive,Early,40.2,2,Q1,Wednesday,-0.083333333
115,27-04-2025 06:00,Garbage,Open,15,Indiranagar,71,12.93041021,77.49280034,1.0,8,169,Water leakage on road,Call Center,positive,On-Time,77.93,4,Q2,Sunday,0.133333333
116,05-11-2025 16:00,Garbage,In Progress,8,Basavanagudi,97,12.86535736,77.58782515,-0.25,6,186,Garbage not collected,Email,negative,On-Time,30.17,11,Q4,Wednesday,0.1
117,02-08-2025 04:00,Garbage,In Progress,15,HSR Layout,17,13.02534303,77.73895635,0.85,-2,189,Illegal parking,Twitter,positive,Early,55.14,8,Q3,Saturday,-0.033333333
118,08-09-2025 19:00,Garbage,Resolved,1,Yelahanka,76,12.91881948,77.51422606,0.97,16,174,Illegal parking,Twitter,positive,Slight Delay,87.17,9,Q3,Monday,0.266666667
119,15-03-2025 05:00,Water Leak,Open,17,Yelahanka,17,12.90821674,77.64472073,-0.21,15,164,Graffiti on wall,Email,negative,Slight Delay,40.19,3,Q1,Saturday,0.25
120,12-11-2025 14:00,Graffiti,In Progress,15,Koramangala,111,12.92583957,77.74476254,0.43,-2,191,Graffiti on wall,Email,positive,Early,29.94,11,Q4,Wednesday,-0.033333333
121,23-09-2025 14:00,Noise,Open,14,BTM Layout,120,13.06853263,77.56287132,0.16,7,121,Illegal parking,Mobile App,neutral,On-Time,26.15,9,Q3,Tuesday,0.116666667
122,15-10-2025 04:00,Water Leak,In Progress,14,Basavanagudi,144,12.97950464,77.71636508,0.44,10,140,Streetlight not working,Mobile App,positive,Slight Delay,47.09,10,Q4,Wednesday,0.166666667
123,11-03-2025 22:00,Water Leak,Resolved,10,Jayanagar,119,12.88947118,77.70920262,-0.69,5,176,Illegal parking,Call Center,negative,On-Time,55.19,3,Q1,Tuesday,0.083333333
124,16-05-2025 02:00,Pothole,Resolved,2,Indiranagar,78,13.04362022,77.55171349,-0.27,-3,146,Water leakage on road,Email,negative,Early,18.96,5,Q2,Friday,-0.05
125,13-07-2025 04:00,Pothole,Open,6,Marathahalli,3,12.90211331,77.4795552,-0.87,-4,159,Water leakage on road,Email,negative,Early,53.58,7,Q3,Sunday,-0.066666667
126,14-02-2025 03:00,Pothole,Resolved,17,BTM Layout,108,12.95311904,77.50356175,0.23,19,199,Illegal parking,Email,positive,Slight Delay,46.9,2,Q1,Friday,0.316666667
127,05-10-2025 20:00,Streetlight,In Progress,5,Whitefield,51,12.99201895,77.55972475,0.85,20,121,Overflowing garbage,Twitter,positive,Heavy Delay,85.48,10,Q4,Sunday,0.333333333
128,12-05-2025 13:00,Pothole,Resolved,5,Whitefield,114,12.99611073,77.73774029,0.12,-3,103,Noise from bar at night,Mobile App,neutral,Early,9.96,5,Q2,Monday,-0.05
129,04-09-2025 11:00,Noise,In Progress,15,Malleshwaram,94,12.86725803,77.53233504,-0.86,14,143,Broken footpath,Email,negative,Slight Delay,77.81,9,Q3,Thursday,0.233333333
130,23-04-2025 05:00,Water Leak,In Progress,15,Jayanagar,174,13.05920112,77.72805942,0.86,11,140,Garbage not collected,Call Center,positive,Slight Delay,73.67,4,Q2,Wednesday,0.183333333
131,01-06-2025 03:00,Noise,Resolved,20,Indiranagar,116,12.96985769,77.50440941,-0.73,-5,181,Overflowing garbage,Twitter,negative,Early,43.8,6,Q2,Sunday,-0.083333333
132,16-08-2025 02:00,Graffiti,In Progress,11,BTM Layout,183,13.09731517,77.74094373,0.77,20,137,Water leakage on road,Email,positive,Heavy Delay,80.68,8,Q3,Saturday,0.333333333
133,11-03-2025 07:00,Pothole,In Progress,5,Whitefield,105,13.0293606,77.53808136,0.43,19,116,Streetlight not working,Mobile App,positive,Slight Delay,58.9,3,Q1,Tuesday,0.316666667
134,22-08-2025 00:00,Streetlight,Open,1,Malleshwaram,99,13.09814223,77.63992768,0.27,5,188,Streetlight not working,Email,positive,On-Time,29.99,8,Q3,Friday,0.083333333
135,05-11-2025 00:00,Graffiti,Open,11,Marathahalli,154,12.96336881,77.47090737,0.17,10,116,Illegal parking,Mobile App,neutral,Slight Delay,30.89,11,Q4,Wednesday,0.166666667
136,24-02-2025 10:00,Streetlight,Open,11,Indiranagar,76,12.88519535,77.53989925,-0.74,14,192,Graffiti on wall,Mobile App,negative,Slight Delay,70.61,2,Q1,Monday,0.233333333
137,10-10-2025 08:00,Graffiti,Resolved,6,Whitefield,159,13.03182734,77.51321312,0.0,4,144,Water leakage on road,Mobile App,neutral,On-Time,12.41,10,Q4,Friday,0.066666667
138,02-09-2025 08:00,Water Leak,Open,8,HSR Layout,81,13.04444007,77.451025,-0.61,14,145,Streetlight not working,Call Center,negative,Slight Delay,62.81,9,Q3,Tuesday,0.233333333
139,10-11-2025 14:00,Noise,In Progress,2,Yelahanka,72,13.06320882,77.49703094,0.14,0,107,Overflowing garbage,Call Center,neutral,On-Time,15.3,11,Q4,Monday,0.0
140,21-08-2025 07:00,Garbage,Resolved,15,Malleshwaram,147,12.92536226,77.62793109,-0.11,-4,192,Illegal parking,Mobile App,neutral,Early,7.98,8,Q3,Thursday,-0.066666667
141,19-08-2025 10:00,Noise,Resolved,9,Marathahalli,196,12.977671,77.56697605,0.36,16,114,Streetlight not working,Twitter,positive,Slight Delay,50.57,8,Q3,Tuesday,0.266666667
142,03-07-2025 21:00,Pothole,Resolved,15,Whitefield,143,13.06437639,77.66677129,0.96,23,132,Water leakage on road,Email,positive,Heavy Delay,96.22,7,Q3,Thursday,0.383333333
